show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s11,TV Show,The Real Queens of Hip-Hop: The Women Who Changed the Game,,,,"October 19, 2021",2021,,1 Season,"Music, News",The ABC News special explores the inspiring rise of women in hip-hop and is narrated by Cheryl “Salt” James of Salt-N-Pepa.
s12,Movie,Dream Horse,,,,"October 18, 2021",2020,PG,113 min,"Comedy, Drama",The film tells the inspiring true story of a small town bartender who decides to breed a racehorse. The community chips in their small earnings and the investment pays off as he becomes a beacon of hope in their struggling town.
s13,Movie,Out of the Shadows: The Man Behind the Steele Dossier,,,,"October 18, 2021",2021,,,News,George Stephanopoulos sits down with former MI6 spy Christopher Steele for a worldwide exclusive interview; marking his first interview since the publication of the series of intelligence reports now known as the Steele dossier.
s14,TV Show,Wakefield,,,,"October 18, 2021",2021,,1 Season,"Drama, Mystery","With a gift for soothing the afflicted and reaching the unreachable, brilliant psychiatric nurse Nik Katira is the most stable person at Wakefield mental health unit in the picturesque Blue Mountains of Australia. But as his own sanity suddenly starts to slip, he finds himself questioning the line between reality and madness."
s15,TV Show,Home Sweet Home,,,,"October 16, 2021",2021,TV-PG,1 Season,Reality,"Real families of different backgrounds experience a new way of life when they trade homes, stepping out of their comfort zones to discover each other's similarities and celebrate their differences, created by executive producer Ava DuVernay."
s16,Movie,Showtime Championship Boxing: Lopez vs. Salido (R),,,,"October 16, 2021",2011,,,Sports,Juan Manuel Lopez vs. Orlando Salido for the WBO Featherweight title.
s17,TV Show,Showtime Championship Boxing: Wilder vs. Molina,,,,"October 16, 2021",2015,TV-14,1 Season,Sports,Champion Deontay Wilder vs. Eric Molina. Live from the Bartow Arena.
s18,TV Show,America's Book of Secrets,,,United States,"October 15, 2021",2012,TV-14,1 Season,"Documentaries, History","America's story can be told in many ways. While much of the history of our country is well documented and widely available, there is another deeper history one that has been shrouded in secrecy and hidden from public view; these are the stories we will reveal."
s19,TV Show,Beyond Oak Island,,,,"October 15, 2021",2020,TV-PG,1 Season,"History, Reality","From pirates such as Blackbeard and outlaws like Jesse James, to Aztec gold, priceless historical artifacts from American history and sunken treasure ships, “Beyond Oak Island” digs deep into the many treasure quests across the globe."
s20,TV Show,Beyond Scared Straight,,,United States,"October 15, 2021",2011,TV-14,6 Seasons,"Documentaries, Reality, Teen","Beyond Scared Straight profiles the new approach to keeping today's teens from becoming tomorrow's prisoners. The power of the original Scared Straight! program has inspired dozens of inmate-run intervention programs in men's and women's prisons across the country. These youthful offender programs put boys and girls of all ethnicities and backgrounds, ranging in age from 11-18, into intensive one-day in-prison sessions that show them the realities of life behind bars."
s21,Movie,Cheer Camp Killer,,,,"October 15, 2021",2020,TV-14,87 min,Thriller,"Camp queen bee Victoria does not take kindly to a newcomer like Sophia taking her spotlight, so she launches a dangerous plan to get her rival out of the way."
s22,TV Show,Hoarders,,,United States,"October 15, 2021",2009,TV-PG,7 Seasons,"Health & Wellness, Lifestyle & Culture, Reality",Each 60-minute episode of Hoarders is a fascinating look inside the lives of two different people whose inability to part with their belongings is so out of control that they are on the verge of a personal crisis.
s23,TV Show,Little Women: Atlanta,,,United States,"October 15, 2021",2016,TV-14,2 Seasons,"Black Stories, Reality","In Little Women: Atlanta, the little ladies turn it up wherever they go out, especially with club promoter Emily leading the charge. There is no shortage of drama within this circle of friends as they face the daily challenges that come with being a little person."
s24,TV Show,Marrying Millions,,,,"October 15, 2021",2019,TV-14,2 Seasons,"Documentaries, Reality, Romance","Marrying Millions follows six couples who are deeply in love and hoping to marry, but come from completely different worlds. Regular people are whisked off their feet and plunged into a high-end life of riches"
s25,TV Show,Nightwatch,,,United States,"October 15, 2021",2015,TV-14,4 Seasons,"Documentaries, Drama, Mystery","""Nightwatch"" follows the dangerous stretch of time (between 9pm until 3am) when emergency responders deal with the busiest shift of the day and the most unnerving cases."
s26,TV Show,Seven Year Switch,,,,"October 15, 2021",2017,TV-14,1 Season,Reality,"In Seven Year Switch, four couples at a crossroads in their relationship get a chance to live with a stranger for two weeks in an experimental marriage."
s27,Movie,Sleepwalker,,,,"October 15, 2021",2017,TV-14,88 min,Thriller,A graduate student plagued by bouts of sleepwalking begins to have trouble differentiating between her dreams and reality.
s28,TV Show,Swamp People,,,United States,"October 15, 2021",2010,TV-PG,3 Seasons,"Documentaries, Reality","Deep in the heart of Louisiana lies America's largest swamp – a million miles of inhospitable bayous, marshes and wetlands where nature rules and humans struggle to tame it."
s29,TV Show,Unsolved,,,,"October 15, 2021",2019,,2 Seasons,"Documentaries, News","More than 750 people are missing from Houston and the surrounding towns of the major Texas city. Among the missing are mothers written off by police as runaways. They are hardworking couples who have been targeted. And they are upstanding members of their community who simply slowed down to give someone a ride. Some have been found, their bodies dumped in the infamous Texas Killing Fields. Others have vanished and their cases gone cold. A year turns into five years, turns into a decade and it gets harder and harder for investigators to generate new leads. But, detectives quietly keep working. They work for the women whose stories are forgotten. They work for the families ripped apart by seemingly random attacks. DNA is tested as evidence, sketches are drawn of the missing, surveillance video of a suspect is circulated among media in hopes of closing a case. But when the missing go unreported, victims faces have long since faded from the headlines and even the best video can't identify a murderer, do their cases go unsolved forever?"
s30,TV Show,Acapulco Shore,,,,"October 14, 2021",2014,TV-14,3 Seasons,"Latino, Reality","A group of young Mexicans live together and share fun, drama and a lot of alcohol."
s31,TV Show,Catfish México,,,,"October 14, 2021",2018,,1 Season,"Latino, Reality","Porque sabemos que no es fácil encontrar el amor verdadero en este mundo digital, MTV Catfish llega a México para salvarte de las mentiras. Todos nos merecemos saber quién está detrás de ese perfil falso."
s32,Movie,Censor,,,,"October 14, 2021",2021,,84 min,Horror,A film censor is assigned to review a disturbing film that recalls her childhood memories. She begins to unravel how this eerie work might be tied to the long-ago disappearance of her sister.
s33,TV Show,Dani Who?,,,,"October 14, 2021",2019,,1 Season,"Latino, Mystery, Science Fiction",A girl disappears in the town of San Gregorio and a group of teenagers decide to investigate what happened.
s34,TV Show,La Culpa es de Cortés,,,,"October 14, 2021",2017,,4 Seasons,"Comedy, Latino","Cinco reconocidos comediantes mexicanos, de distintas regiones del país, se juntan para comentar de manera ácida y divertida las costumbres y tradiciones de México."
s35,Movie,Out of Death,,,,"October 14, 2021",2021,NOT RATED,95 min,Thriller,"When Shannon (Jaime King) sets out on a hike to spread her deceased father’s ashes, she witnesses a corrupt sheriff’s deputy, Billie (Lala Kent) brutally murder a drug dealer. Having seen Shannon witness the murder, Billie and her cohorts set off to permanently silence Shannon. On the run from the dirty cops, Shannon stumbles into and recruits the help of a retired cop, Jack Harris (Bruce Willis)."
s36,TV Show,The Real Housewives of Orange County,,,United States,"October 14, 2021",2006,TV-14,15 Seasons,Reality,"The O.C. ladies are back as the series goes behind the gates for a voyeuristic look at the scandalous truths, mending friendships, rocky marriages, sizzling romances, and ever-changing loyalties inside the wealthy Southern California suburb."
s37,TV Show,Why Not Us,,,,"October 14, 2021",2021,,2 Seasons,"Documentaries, Sports","All-access to the North Carolina Central University men's basketball program, which looks to become the first HBCU to reach the Sweet 16."
s38,Movie,BELLATOR MMA: Kongo vs. Johnson 2,,,,"October 13, 2021",2020,,,Sports,Cheick Kongo vs. Tim Johnson battle in a historic classic from October 2020
s39,Movie,CHIPS,,,,"October 13, 2021",2017,R,101 min,"Action, Adventure, Comedy",Ponch and Jon are together again in this hilarious update of the popular TV series that follows a mismatched pair of motorcycle cops.
s40,TV Show,Dopesick,,,,"October 13, 2021",2021,TV-MA,1 Season,Drama,"From Executive Producer Danny Strong and starring and executive produced by Michael Keaton, “Dopesick” examines how one company triggered the worst drug epidemic in American history. The series takes viewers to the epicenter of America’s struggle with opioid addiction, from the boardrooms of Big Pharma, to a distressed Virginia mining community, to the hallways of the DEA. Defying all the odds, heroes will emerge in an intense and thrilling ride to take down the craven corporate forces behind this national crisis and their allies. The limited series is inspired by the New York Times bestselling book by Beth Macy."
s41,Movie,In the Crease,,,,"October 13, 2021",2020,,,Sports,Post-game analysis and highlight show airing each night throughout the NHL season from Barry Melrose and Linda Cohn.
s42,TV Show,"Champaign, Ill",,,,"October 12, 2021",2018,,1 Season,Comedy,"After the death of their best friend, a wildly famous rap icon, Alf and Ronnie lose their lavish lifestyle and are forced to return home to Champaign, Illinois. In order to get back what the"
s43,Movie,The Loneliest Whale: The Search for 52,,,,"October 12, 2021",2021,PG,97 min,Documentaries,"A cinematic quest to find the “52 Hertz Whale.” As the film embarks on its engrossing journey, we uncover what this whale’s lonely plight teaches us not only about our relationship to the ocean, but to each other."
s44,Movie,Gunda,,,,"October 11, 2021",2020,G,93 min,Documentaries,"Experiential cinema in its purest form, GUNDA is a transcendent and masterfully intimate chronicle of a mother pig, a flock of chickens, and a herd of cows."
s45,TV Show,Buried,,,,"October 10, 2021",2021,TV-MA,1 Season,"Crime, Documentaries","In January 1989, in a flash Eileen Franklin recalled being eight years old and witnessing the rape and murder of her best friend, Susan Nason. She also remembered the identity of the murderer ? it was Eileen?s own father, George Franklin. The ensuing trial was the first criminal case based on a repressed memory, and it raised questions and issues that continue to challenge the reliability of memory and of criminal testimony to this day. Eileen Franklin?s memories were terrifying beyond imagining... but were they true beyond a reasonable doubt?"
s46,TV Show,Demon Slayer Kimetsu No Yaiba,,,Japan,"October 10, 2021",2019,TV-14,2 Seasons,"Action, Adventure, Anime","It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a ""demon slayer"" so that he can turn his sister back into a human, and kill the demon that massacred his family. A sorrowful tale of siblings in which the fates of humans and demons intertwine... begins now!"
s47,Movie,G.I. Joe: Retaliation,,,,"October 10, 2021",2013,PG-13,105 min,"Action, Adventure",The Greatest American Heroes are back to face COBRA in a new adventure.
s48,Movie,Rogue Hostage,,,,"October 10, 2021",2021,,94 min,"Action, Thriller",Child Protective Services officer and former Marine Kyle Snowden must save an immigrant child from a dangerous criminal who has trapped them and other hostages inside a neighborhood store owned by Kyle’s controversial stepfather Congressman Sam Nelson.
s49,TV Show,Roots Less Traveled,,,,"October 10, 2021",2020,TV-G,1 Season,Reality,"Pairs of family members, often from different generations, set out on adventures to solve mysteries from their family trees and grow closer as they gain wisdom not only about themselves, but also about how their past has helped shape their present."
s50,TV Show,Shark Tank,,,United States,"October 9, 2021",2009,TV-PG,12 Seasons,Reality,"From Executive Producer Mark Burnett comes an inventive new reality series you can sink your teeth into. Budding entrepreneurs with big ideas can still make their dreams come true and ABC is about to give them the chance to make it happen. Each week a group of self-made millionaires from all corners of the business world take their own hard earned money and offer everyday people their one true shot at making their dreams a reality. Some will sink, some will swim and some will be eaten alive."
s51,Movie,Yashahime: Princess Half-Demon,,,Japan,"October 9, 2021",2020,2 Seasons,,Anime,"Long-lost twins Towa and Setsuna reunite after ten years to discover that they are the half-demon daughters of the great demon Sesshomaru. Joined by Moroha, the daughter of Inuyasha, the three set out on a journey to regain their missing past."
s52,TV Show,General Hospital,,,United States,"October 8, 2021",1963,TV-14,1 Season,Drama,"The wealthy Quartermaine family continues to be a looming presence in the town of Port Charles, with interests in much of the city's business. Characters come and go, but viewers can always count on at least one Quartermaine or Spencer to create havoc."
s53,Movie,Jacinta,,,,"October 8, 2021",2021,TV-MA,105 min,Documentaries,"An intimate portrait of mothers and daughters and the effects of trauma, Jacinta follows a young woman in and out of prison as she attempts to break free from an inherited cycle of addiction, incarceration, and crime."
s54,TV Show,ABC News Live Prime with Linsey Davis,,,,"October 7, 2021",2021,,1 Season,News,Your primetime news source for context and analysis of the day’s top stories. In-depth reporting and storytelling from across the country and around the world – hosted by Linsey Davis.
s55,TV Show,Baker's Dozen,,,,"October 7, 2021",2021,,1 Season,"Cooking & Food, Lifestyle & Culture, Reality","Passionate amateur bakers will go head-to-head with seasoned professionals in each episode of “Baker’s Dozen”. Join hosts Tamera Mowry-Housley (Emmy-award winning host of ""The Real,"" FOX’s “The Masked Singer” and Hallmark’s “Christmas Comes Twice”) and Bill Yosses (Author and former White House Pastry Chef) for this fast-paced competition series that will determine the best baker of all! Which of the 13 bakers has what it takes to create the next viral baking sensation, win the golden rolling pin and take home the cash prize?"
s56,Movie,FIFA World Cup 2022 Qualifying,,,,"October 7, 2021",2019,,,Sports,Match coverage from the qualifiers for the FIFA 2022 World Cup.
s57,Movie,BELLATOR MMA 257: Nemkov vs. Davis 2 (R),,,,"October 6, 2021",2021,,,Sports,"BELLATOR champ Vadim Nemkov, Phil Davis, Corey Anderson in action. REPLAY"
s58,Movie,BELLATOR MMA: Davis vs. Nemkov,,,,"October 6, 2021",2018,,,Sports,Former BELLATOR MMA champion Phil Davis faces Russia's Vadim Nemkov.
s59,TV Show,Castle,,,,"October 6, 2021",2009,TV-14,8 Seasons,"Comedy, Crime, Drama","Rick Castle, a famous crime novelist and rockstar of the literary world who finds inspiration for a new character from an unlikely source - the smart, beautiful, no-nonsense Det. Kate Beckett - whether she likes it or not. His fame gives him an all-access pass to her cases and he's working her last nerve. But somehow, together, they're the perfect partners in crime."
s60,Movie,The Hills Presents: Speidi's Wedding Unveiled,,,,"October 5, 2021",2009,TV-PG,,"Reality, Teen","The new Mr. and Mrs. Pratt present candid interviews with the cast of Hills, exclusive footage you never saw on the show, a glimpse at the media frenzy surrounding the wedding of the year, and an interview with Kristin Cavallari"
s61,TV Show,America's Funniest Home Videos,,,United States,"October 4, 2021",1981,TV-PG,2 Seasons,"Comedy, Family","From practical jokes to home improvement plans gone awry, to animal mishaps and just flat out strange behavior, this hilarious show on ABC pulls out all the stops to present everyday people caught on tape in their most embarrassing moments!"
s62,Movie,Maggie's Plan,,,,"October 4, 2021",2015,R,99 min,"Comedy, Drama, Romance","A young woman (Gerwig) set on having a child, catapults herself into a love triangle with an academic (Hawke) & his eccentric wife (Moore)."
s63,TV Show,The Bradshaw Bunch,,,,"October 4, 2021",2020,TV-PG,1 Season,Reality,"Legendary quarterback and television-broadcast icon Terry Bradshaw gives us an intimate look at life in the off-season. As husband, father and “Papi” to the Bradshaw Bunch, we see a side of Terry Bradshaw you’ve never seen before"
s64,Movie,The Program,,,,"October 4, 2021",1993,R,112 min,"Action, Adventure, Drama",An action-packed story about a group of Top 10 college football athletes.
s65,Movie,Unfaithful,,,,"October 4, 2021",2002,R,124 min,"Drama, Romance, Thriller",Diane Lane earned a 2002 Best Actress Oscar(R) nomination for her role as a housewife who gets blown into a whirlwind affair.
s66,Movie,Finding Your Feet,,,United Kingdom,"October 3, 2021",2017,PG-13,112 min,"Comedy, Drama, Romance","On the eve of retirement, a middle-class snob discovers her husband has been having an affair, and is forced to live with her bohemian sister on an impoverished inner-city estate."
s67,Movie,Pacific Airshow,,,,"October 3, 2021",2021,,,Documentaries,"Pacific Airshow is not just an Airshow. It’s a global spectacle-scale event that celebrates the love, patriotism and awe-inspiring feats of aviation with the enticing thrill of sports, entertainment, art and technology - backed by Southern California’s most iconic beachfront destination. This year’s Pacific Airshow will be headlined by the U.S. Navy Blue Angels celebrating their 75th Anniversary tour and flying their new F/A-18 Super Hornets. The Blue Angels will be joined by the Canadian Forces Snowbirds celebrating their 50th anniversary season, the U.S. Air Force F-35A Lightning II Demo Team led by Major Kristin “BEO” Wolfe, U.S. Navy Growler Legacy Flight demonstration team featuring two EA-18Gs, a variant of the F/A-18 F Super Hornet, the U.S. Marine Corps MV-22 Osprey Demo Team, the U.S. Army Golden Knights parachute demonstration team, world-class civilian aerobatic performers and many more."
s68,TV Show,Saturday Night Live,,,United States,"October 3, 2021",1975,TV-14,23 Seasons,"Comedy, Late Night, Sketch Comedy",NBC in association with Broadway Video Enterprises bring you the landmark sketch comedy series.
s69,Movie,College Swimming & Diving,,,,"October 2, 2021",2005,,,Sports,Action from college swimming & diving events.
s70,Movie,Men's College Hockey,,,,"October 2, 2021",2000,,,Sports,Action from NCAA men's college hockey.
s71,TV Show,The Most Magical Story On Earth: 50 Years of Walt Disney World,,,,"October 2, 2021",2021,TV-PG,1 Season,News,"Whoopi Goldberg hosts a historical journey spanning half a century and beyond at Walt Disney World, featuring spectacular visuals, musical performances from Christina Aguilera and Halle Bailey, and interviews with iconic actors and athletes."
s72,Movie,A.I.: Artificial Intelligence,,,,"October 1, 2021",2001,PG-13,145 min,"Adventure, Drama, Science Fiction","In a future world of scientific advances, humans share their lives with sophisticated companion robots. But when an advanced prototype robot child is programmed to show unconditional love, his human family isn't prepared for it."
s73,Movie,Air Force One,,,,"October 1, 2021",1997,R,125 min,"Action, Adventure, Horror",Harrison Ford and Gary Oldman star in Wolfgang Petersen's thriller about the hijacking of Air Force One with the First Family on board.
s74,Movie,Ali,,,,"October 1, 2021",2001,R,157 min,"Black Stories, Drama, History","A pivotal decade in the life of heavyweight boxing legend Muhammad Ali - his rise to the top of the sport, his refusal to go to Vietnam, and his comeback fights with Foreman and Frazier."
s75,TV Show,Asylum,,,,"October 1, 2021",2021,,1 Season,Documentaries,"Asylum is an intimate look at the dreams, prayers, and realities of two fathers seeking refuge in the U.S. – revealing that, after the harrowing roads that brought them to the country of their dreams, asylum is often elusive."
s76,TV Show,Big Sky,,,United States,"October 1, 2021",2020,TV-14,2 Seasons,"Crime, Drama","Storyteller David E. Kelly (""Big Little Lies"") presents a series about private detectives Cassie Dewell and Cody Hoyt, who join forces with Cody's estranged wife and ex-cop, Jenny Hoyt, to search for two sisters who have been kidnapped by a truck driver on a remote highway in Montana. When they discover that these are not the only girls who have disappeared in the area, they must race against the clock to stop the killer before another woman is taken. Based on the series of books by C.J. Box, the series stars Katheryn Winnick, Kylie Bunbury and Ryan Phillippe."
s77,TV Show,Bite Size Halloween,,,,"October 1, 2021",2020,,2 Seasons,Horror,A series of stand-alone horror shorts ranging from the terrifying to the ridiculous.
s78,Movie,Blippi's Spooky Spell Halloween,,,,"October 1, 2021",2021,TV-Y,41 min,Kids,"Get ready for a spooky halloween with Blippi! Learn all about fun halloween decorations, visit a candy store for the best sweet and spooky treats, learn how to make a Jack-O-Lantern, and so much more."
s79,Movie,Boxcar Bertha,,,,"October 1, 2021",1972,R,89 min,"Crime, Drama","Set in the Depression era of the 1930s, a young woman and three men rob trains and plan a kidnapping. The men are caught and the young woman becomes a prostitute. Based on ""Sister of the Road"" by Boxcar Bertha Thomson."
s80,TV Show,Cake,,,United States,"October 1, 2021",2019,TV-MA,5 Seasons,Comedy,"""Cake"" is a handcrafted assortment of bite-sized content served up to viewers as a tasty treat for the mind. Featuring a diverse array of narratives from storytellers both new and established with eclectic points of view, the carefully curated half-hour showcase features both live-action and animated comedy programs of varied length that are equal parts thought-provoking, laugh-inducing, artistic, authentic and raw (not to mention, totally gif-able). There's something for everyone and plenty to go around."
s81,Movie,Cedar Rapids,,,,"October 1, 2021",2011,R,87 min,Comedy,"A weekend insurance convention proves to be a hotbed of sex, booze and buffoonery for a naive young man in this comedy."
s82,Movie,Chasing Papi,,,,"October 1, 2021",2003,PG,80 min,"Comedy, Drama, Romance",A Latino Casanova courts three Hispanic women in three different cities...until they find out about one another in this comedy.
s83,Movie,Class,,,,"October 1, 2021",1983,R,99 min,"Comedy, Drama","Complications arise when a lucky, lustful prep school teen gets a chance to lose his innocence to an older woman."
s84,Movie,Clifford,,,,"October 1, 2021",1994,PG,90 min,"Comedy, Family, Kids",Martin Short is hilarious as a bratty 10-year-old kid who wreaks havoc while visiting his hapless uncle Charles Grodin in this comedy.
s85,Movie,Clockstoppers,,,,"October 1, 2021",2002,PG,94 min,"Action, Adventure, Comedy",High-school teen Jesse Bradford tries out his scientist dad's new invention: a watch that can freeze time.
s86,Movie,Code 46,,,,"October 1, 2021",2004,R,93 min,"Drama, Romance, Science Fiction",Tim Robbins is an investigator in a dystopian future whose attraction to a mysterious woman lands him on the wrong side of the law.
s87,Movie,Crimson Tide,,,,"October 1, 2021",1995,R,116 min,"Drama, Horror, Thriller",Gene Hackman and Denzel Washington star as a submarine commander and his top lieutenant who wind up in a standoff during a nuclear crisis.
s88,Movie,Date Night Extended Version,,,,"October 1, 2021",2010,PG-13,102 min,"Action, Adventure, Comedy",Steve Carell and Tina Fey are a couple whose wild night out injects some much-needed spark – and some serious danger – into their marriage.
s89,Movie,Dead of Winter,,,,"October 1, 2021",1987,R,101 min,"Horror, Thriller",An out-of-work actress is lured to an isolated house for an audition that takes a horrifying twist in this horror thriller.
s90,Movie,Diary of a Wimpy Kid: Rodrick Rules,,,,"October 1, 2021",2011,PG,100 min,"Comedy, Family, Kids",Young underdog Greg Heffley is back for torment at the hands of his brother Rodrick and more in this second hilarious flick in the series.
s91,Movie,"Double, Double, Toil and Trouble",,,,"October 1, 2021",1993,,97 min,"Adventure, Family, Kids","Determined twins (Mary-Kate Olsen, Ashley Olsen) try to trick an evil aunt (Cloris Leachman) out of a magic moonstone and save their family home."
s92,Movie,Dr. No,,,United Kingdom,"October 1, 2021",1962,PG,110 min,"Action, Adventure","On a mission in Jamaica, ultra-suave Agent 007 finds mad scientist Dr. No concocting a plot to derail the U.S. space program and take over the world."
s93,Movie,Edge of the World,,,,"October 1, 2021",2021,,104 min,"Adventure, Drama, History","The true story of British adventurer Sir James Brooke, who fought pirates, slavers and headhunters to rule a jungle kingdom larger than England in 1840's Borneo."
s94,Movie,Escape from Alcatraz,,,United States,"October 1, 2021",1979,PG,112 min,"Action, Crime, Drama",Based on true events! A hardened convict engineers an elaborate plan to escape infamous Alcatraz Prison - a feat nobody had successfully accomplished before. Directed by Don Siegel (Dirty Harry).
s95,Movie,Exorcist: The Beginning,,,,"October 1, 2021",2004,R,113 min,Horror,Prequel. Exorcist: The Beginning traces the story of Father Merrin back to his first encounter with the Devil during his missionary work in Africa.
s96,Movie,Flatliners,,,,"October 1, 2021",1990,R,114 min,"Drama, Horror, Science Fiction","Julia Roberts, Kiefer Sutherland and Kevin Bacon star in this ""edge of your seat"" thriller as medical students who push themselves to the boundaries of life itself and touch the face of death. This offbeat drama is directed by Joel Schumacher."
s97,Movie,From Russia With Love,,,United Kingdom,"October 1, 2021",1964,PG,115 min,"Action, Adventure, Classics",Bond is back and he's paying the price for his previous adventure when SPECTRE lured him into a deadly trap to avenge the death of Dr. No. Will Bond's mission to find a Russian coding machine be his last?
s98,Movie,GoldenEye,,,"United Kingdom, United States","October 1, 2021",1995,PG-13,130 min,"Action, Adventure, Thriller","Bond is thrown right into the action before the title song with an eye-opening cliff dive onto a plane. Sporting his signature debonair attitude and pricey gadgets, Bond investigates the destruction of a Russian satellite base."
s99,Movie,Goldfinger,,,United Kingdom,"October 1, 2021",1965,PG,110 min,"Action, Adventure, Classics","007 is pitted against Auric Goldfinger, who plots to render the gold supply at Fort Knox worthless with radioactivity, thereby increasing tenfold the value of his own gold supply to make him the richest, most powerful man on Earth."
s100,Movie,Happy Feet,,,,"October 1, 2021",2006,TV-PG,101 min,"Action, Adventure, Comedy",An emperor penguin expresses himself through tap-dancing.
s101,Movie,Happy Feet Two,,,,"October 1, 2021",2011,PG,100 min,"Adventure, Comedy, Family",Tap-dancing penguin Mumble is now a daddy...and he's got an equally unique (and talented) son to help in this fun-filled family sequel.
s102,Movie,House of Games,,,,"October 1, 2021",1987,R,102 min,Thriller,"An uptight female psychiatrist (and best-selling author) attempts to intercede with a con man on behalf of one of her patients, a compulsive gambler who owes him several thousand dollars."
s103,Movie,Intersection,,,,"October 1, 2021",1994,R,99 min,"Drama, Romance","In the wake of a terrible car wreck, award-winning architect Vincent Eastman sees his life in flashbacks, recalling his separation from his beautiful but aloof wife and his affair with a joyful and passionate journalist."
s104,Movie,License to Kill,,,"United Kingdom, Mexico, United States","October 1, 2021",1989,PG-13,133 min,"Action, Adventure","This 16th James Bond outing finds Agent 007 defying his superiors and operating without his infamous “license to kill” when he takes revenge upon a Colombian drug kingpin, after the guy maims Bond’s best friend/former CIA agent and kills his new bride."
s105,Movie,Light It Up,,,,"October 1, 2021",1999,R,99 min,"Black Stories, Drama, LGBTQ+","The topical story of a group of high school students who form a protest when they become fed up with their school's poor conditions. After a shot is accidentally fired and a police officer is wounded, the resulting stand-off results in a media frenzy that pits the dirt-digging media against the well-intentioned students."
s106,Movie,Lost In Space,,,United States,"October 1, 2021",1998,PG-13,130 min,"Action, Adventure, Science Fiction","A family of space colonists, their pilot and a diabolical stowaway scientist become hopelessly lost beyond the galaxy when their mission is sabotaged."
s107,Movie,Mad Max,,,,"October 1, 2021",1979,R,93 min,"Action, Adventure, Science Fiction",A chilling drama that combines a futuristic plot with high speed car and motorcycle action. A strange apocalyptic death game between nomadic bikers and a handful of cops.
s108,Movie,Madhouse,,,,"October 1, 2021",2004,,91 min,"Horror, Thriller","When a staff nurse is murdered at a notorious insane asylum, Clark Stevens, a new psychiatry intern, starts digging for answers and soon realizes that there is something very wrong with the people at the asylum, and it's not just the patients."
s109,Movie,Maze,,,"Ireland, United Kingdom, Germany, Sweden","October 1, 2021",2017,93 min,,"Action, Adventure, Crime","Based on the incredible true story of the 1983 mass break-out of 38 IRA prisoners from the HMP Maze high security prison, one prisoner engineers the largest European prison escape since World War II."
s110,Movie,My Best Friend's Wedding,,,United States,"October 1, 2021",1997,PG-13,105 min,"Comedy, Romance","When a successful food critic learns that her former boyfriend/best friend is getting married, she stops at nothing to clench her own happiness. Stars Julia Roberts, Dermot Mulroney and Cameron Diaz."
