service_date,day_type,bus,rail_boardings,total_rides
2019-02-12T00:00:00.000,W,741083,698387,1439470
2019-02-13T00:00:00.000,W,795205,728764,1523969
2019-02-14T00:00:00.000,W,824482,746611,1571093
2019-02-15T00:00:00.000,W,754152,687932,1442084
2019-02-16T00:00:00.000,A,438454,362613,801067
2019-02-17T00:00:00.000,U,296482,256817,553299
2019-02-18T00:00:00.000,W,555501,519409,1074910
2019-02-19T00:00:00.000,W,812492,725195,1537687
2019-02-20T00:00:00.000,W,779660,717172,1496832
2019-02-21T00:00:00.000,W,813056,727504,1540560
2019-02-22T00:00:00.000,W,798311,702988,1501299
2019-02-23T00:00:00.000,A,406839,328179,735018
2019-02-24T00:00:00.000,U,288368,240478,528846
2019-02-25T00:00:00.000,W,762857,680844,1443701
2019-02-26T00:00:00.000,W,773049,699462,1472511
2019-02-27T00:00:00.000,W,797800,711827,1509627
2019-02-28T00:00:00.000,W,783920,714700,1498620
2019-03-01T00:00:00.000,W,812238,682969,1495207
2019-03-02T00:00:00.000,A,454119,349392,803511
2019-03-03T00:00:00.000,U,313539,252150,565689
2019-03-04T00:00:00.000,W,699086,635353,1334439
2019-03-05T00:00:00.000,W,761781,692945,1454726
2019-03-06T00:00:00.000,W,790908,708876,1499784
2019-03-07T00:00:00.000,W,790299,711428,1501727
2019-03-08T00:00:00.000,W,781577,684186,1465763
2019-03-09T00:00:00.000,A,409779,326686,736465
2019-03-10T00:00:00.000,U,310427,250702,561129
2019-03-11T00:00:00.000,W,784354,697758,1482112
2019-03-12T00:00:00.000,W,816229,729476,1545705
2019-03-13T00:00:00.000,W,785256,727150,1512406
2019-03-14T00:00:00.000,W,777417,726502,1503919
2019-03-15T00:00:00.000,W,769660,716230,1485890
2019-03-16T00:00:00.000,A,468181,570703,1038884
2019-03-17T00:00:00.000,U,337661,301294,638955
2019-03-18T00:00:00.000,W,786322,711535,1497857
2019-03-19T00:00:00.000,W,812217,727732,1539949
2019-03-20T00:00:00.000,W,782960,712714,1495674
2019-03-21T00:00:00.000,W,795501,719946,1515447
2019-03-22T00:00:00.000,W,784281,695716,1479997
2019-03-23T00:00:00.000,A,472376,386972,859348
2019-03-24T00:00:00.000,U,312958,279989,592947
2019-03-25T00:00:00.000,W,761448,666862,1428310
2019-03-26T00:00:00.000,W,794453,688849,1483302
2019-03-27T00:00:00.000,W,802407,693509,1495916
2019-03-28T00:00:00.000,W,782670,692421,1475091
2019-03-29T00:00:00.000,W,764086,667916,1432002
2019-03-30T00:00:00.000,A,428233,346980,775213
2019-03-31T00:00:00.000,U,324724,264228,588952
2019-04-01T00:00:00.000,W,825150,707874,1533024
2019-04-02T00:00:00.000,W,815370,727263,1542633
2019-04-03T00:00:00.000,W,846418,744443,1590861
2019-04-04T00:00:00.000,W,791393,735719,1527112
2019-04-05T00:00:00.000,W,754962,710414,1465376
2019-04-06T00:00:00.000,A,487323,414140,901463
2019-04-07T00:00:00.000,U,331229,276992,608221
2019-04-08T00:00:00.000,W,823032,754465,1577497
2019-04-09T00:00:00.000,W,791556,747311,1538867
2019-04-10T00:00:00.000,W,760548,731858,1492406
2019-04-11T00:00:00.000,W,771911,746596,1518507
2019-04-12T00:00:00.000,W,795077,731825,1526902
2019-04-13T00:00:00.000,A,473087,417501,890588
2019-04-14T00:00:00.000,U,240601,215007,455608
2019-04-15T00:00:00.000,W,694149,679904,1374053
2019-04-16T00:00:00.000,W,725056,709023,1434079
2019-04-17T00:00:00.000,W,710771,699083,1409854
2019-04-18T00:00:00.000,W,654819,675919,1330738
2019-04-19T00:00:00.000,W,643329,619953,1263282
2019-04-20T00:00:00.000,A,462233,372841,835074
2019-04-21T00:00:00.000,U,330270,276935,607205
2019-04-22T00:00:00.000,W,767623,692515,1460138
2019-04-23T00:00:00.000,W,806358,747351,1553709
2019-04-24T00:00:00.000,W,813407,759394,1572801
2019-04-25T00:00:00.000,W,820219,770006,1590225
2019-04-26T00:00:00.000,W,806103,731398,1537501
2019-04-27T00:00:00.000,A,369056,319488,688544
2019-04-28T00:00:00.000,U,338518,289270,627788
2019-04-29T00:00:00.000,W,729815,673476,1403291
2019-04-30T00:00:00.000,W,757497,707685,1465182
2019-05-01T00:00:00.000,W,841583,729104,1570687
2019-05-02T00:00:00.000,W,787163,728705,1515868
2019-05-03T00:00:00.000,W,834369,750517,1584886
2019-05-04T00:00:00.000,A,495436,437434,932870
2019-05-05T00:00:00.000,U,402463,338727,741190
2019-05-06T00:00:00.000,W,803622,724230,1527852
2019-05-07T00:00:00.000,W,805130,738981,1544111
2019-05-08T00:00:00.000,W,822516,755171,1577687
2019-05-09T00:00:00.000,W,810976,751965,1562941
2019-05-10T00:00:00.000,W,816268,749306,1565574
2019-05-11T00:00:00.000,A,456362,407442,863804
2019-05-12T00:00:00.000,U,336476,298999,635475
2019-05-13T00:00:00.000,W,783657,704326,1487983
2019-05-14T00:00:00.000,W,808863,722423,1531286
2019-05-15T00:00:00.000,W,810290,724761,1535051
2019-05-16T00:00:00.000,W,768250,714282,1482532
2019-05-17T00:00:00.000,W,758399,691390,1449789
2019-05-18T00:00:00.000,A,448115,388373,836488
2019-05-19T00:00:00.000,U,332006,295929,627935
2019-05-20T00:00:00.000,W,781061,721397,1502458
2019-05-21T00:00:00.000,W,777647,723782,1501429
2019-05-22T00:00:00.000,W,811376,756639,1568015
2019-05-23T00:00:00.000,W,801697,766717,1568414
2019-05-24T00:00:00.000,W,749827,681443,1431270
2019-05-25T00:00:00.000,A,483109,426932,910041
2019-05-26T00:00:00.000,U,349368,335435,684803
2019-05-27T00:00:00.000,U,298987,256757,555744
2019-05-28T00:00:00.000,W,769069,694292,1463361
2019-05-29T00:00:00.000,W,791059,717681,1508740
2019-05-30T00:00:00.000,W,792091,735508,1527599
2019-05-31T00:00:00.000,W,817633,738322,1555955
2019-06-01T00:00:00.000,A,473204,379044,852248
2019-06-02T00:00:00.000,U,370049,319334,689383
2019-06-03T00:00:00.000,W,814607,731571,1546178
2019-06-04T00:00:00.000,W,797511,749759,1547270
2019-06-05T00:00:00.000,W,817943,764911,1582854
2019-06-06T00:00:00.000,W,819351,773638,1592989
2019-06-07T00:00:00.000,W,797917,760907,1558824
2019-06-08T00:00:00.000,A,517706,469189,986895
2019-06-09T00:00:00.000,U,372952,329388,702340
2019-06-10T00:00:00.000,W,787528,717811,1505339
2019-06-11T00:00:00.000,W,812806,748133,1560939
2019-06-12T00:00:00.000,W,768907,722333,1491240
2019-06-13T00:00:00.000,W,784003,758006,1542009
2019-06-14T00:00:00.000,W,786956,769162,1556118
2019-06-15T00:00:00.000,A,447116,419997,867113
2019-06-16T00:00:00.000,U,347416,319752,667168
2019-06-17T00:00:00.000,W,739714,684609,1424323
2019-06-18T00:00:00.000,W,783381,747919,1531300
2019-06-19T00:00:00.000,W,762852,735207,1498059
2019-06-20T00:00:00.000,W,754094,755009,1509103
2019-06-21T00:00:00.000,W,741691,748258,1489949
2019-06-22T00:00:00.000,A,485555,468890,954445
2019-06-23T00:00:00.000,U,372216,314345,686561
2019-06-24T00:00:00.000,W,713826,694599,1408425
2019-06-25T00:00:00.000,W,790945,756023,1546968
2019-06-26T00:00:00.000,W,778502,758880,1537382
2019-06-27T00:00:00.000,W,763256,757999,1521255
2019-06-28T00:00:00.000,W,742317,717591,1459908
2019-06-29T00:00:00.000,A,507082,438017,945099
2019-06-30T00:00:00.000,U,342891,473462,816353
2019-07-01T00:00:00.000,W,751938,691817,1443755
2019-07-02T00:00:00.000,W,732483,698347,1430830
2019-07-03T00:00:00.000,W,761825,694945,1456770
2019-07-04T00:00:00.000,U,386135,354474,740609
2019-07-05T00:00:00.000,W,593204,492198,1085402
2019-07-06T00:00:00.000,A,464539,390851,855390
2019-07-07T00:00:00.000,U,365003,328344,693347
2019-07-08T00:00:00.000,W,738529,696647,1435176
2019-07-09T00:00:00.000,W,760765,733255,1494020
2019-07-10T00:00:00.000,W,750223,735504,1485727
2019-07-11T00:00:00.000,W,761712,767177,1528889
2019-07-12T00:00:00.000,W,738700,777202,1515902
2019-07-13T00:00:00.000,A,496000,471671,967671
2019-07-14T00:00:00.000,U,386786,362994,749780
2019-07-15T00:00:00.000,W,733408,723684,1457092
2019-07-16T00:00:00.000,W,736299,746731,1483030
2019-07-17T00:00:00.000,W,751727,751160,1502887
2019-07-18T00:00:00.000,W,681127,699545,1380672
2019-07-19T00:00:00.000,W,700392,721558,1421950
2019-07-20T00:00:00.000,A,466646,419897,886543
2019-07-21T00:00:00.000,U,360488,342739,703227
2019-07-22T00:00:00.000,W,733191,716299,1449490
2019-07-23T00:00:00.000,W,754783,731712,1486495
2019-07-24T00:00:00.000,W,754694,737880,1492574
2019-07-25T00:00:00.000,W,746240,746890,1493130
2019-07-26T00:00:00.000,W,728460,713766,1442226
2019-07-27T00:00:00.000,A,509542,417935,927477
2019-07-28T00:00:00.000,U,399059,314226,713285
2019-07-29T00:00:00.000,W,677033,663313,1340346
2019-07-30T00:00:00.000,W,744356,721545,1465901
2019-07-31T00:00:00.000,W,738630,739592,1478222
2019-08-01T00:00:00.000,W,763703,795333,1559036
2019-08-02T00:00:00.000,W,740366,804952,1545318
2019-08-03T00:00:00.000,A,497883,512548,1010431
2019-08-04T00:00:00.000,U,375863,416740,792603
2019-08-05T00:00:00.000,W,727517,724021,1451538
2019-08-06T00:00:00.000,W,737702,738151,1475853
2019-08-07T00:00:00.000,W,745371,746207,1491578
2019-08-08T00:00:00.000,W,746213,735310,1481523
2019-08-09T00:00:00.000,W,720081,716084,1436165
2019-08-10T00:00:00.000,A,490001,428555,918556
2019-08-11T00:00:00.000,U,376464,321310,697774
2019-08-12T00:00:00.000,W,672626,659442,1332068
2019-08-13T00:00:00.000,W,715539,697693,1413232
2019-08-14T00:00:00.000,W,708180,698339,1406519
2019-08-15T00:00:00.000,W,723069,703513,1426582
2019-08-16T00:00:00.000,W,699501,675393,1374894
2019-08-17T00:00:00.000,A,456968,396155,853123
2019-08-18T00:00:00.000,U,330848,289890,620738
2019-08-19T00:00:00.000,W,697759,669727,1367486
2019-08-20T00:00:00.000,W,670195,689224,1359419
2019-08-21T00:00:00.000,W,732929,724089,1457018
2019-08-22T00:00:00.000,W,739175,741995,1481170
2019-08-23T00:00:00.000,W,720876,723775,1444651
2019-08-24T00:00:00.000,A,499355,424284,923639
2019-08-25T00:00:00.000,U,395847,327749,723596
2019-08-26T00:00:00.000,W,693566,678343,1371909
2019-08-27T00:00:00.000,W,776670,740341,1517011
2019-08-28T00:00:00.000,W,772893,736506,1509399
2019-08-29T00:00:00.000,W,769645,747141,1516786
2019-08-30T00:00:00.000,W,761440,717490,1478930
2019-08-31T00:00:00.000,A,482463,428658,911121
2019-09-01T00:00:00.000,U,379610,357032,736642
2019-09-02T00:00:00.000,U,374967,328376,703343
2019-09-03T00:00:00.000,W,821674,738399,1560073
2019-09-04T00:00:00.000,W,861286,762868,1624154
2019-09-05T00:00:00.000,W,853186,800432,1653618
2019-09-06T00:00:00.000,W,821645,744323,1565968
2019-09-07T00:00:00.000,A,486423,420502,906925
2019-09-08T00:00:00.000,U,344385,310823,655208
2019-09-09T00:00:00.000,W,829266,737160,1566426
2019-09-10T00:00:00.000,W,856513,769458,1625971
2019-09-11T00:00:00.000,W,848169,777407,1625576
2019-09-12T00:00:00.000,W,845028,795224,1640252
2019-09-13T00:00:00.000,W,822197,800812,1623009
2019-09-14T00:00:00.000,A,498571,487396,985967
2019-09-15T00:00:00.000,U,353264,352467,705731
2019-09-16T00:00:00.000,W,825739,777685,1603424
2019-09-17T00:00:00.000,W,856186,797063,1653249
2019-09-18T00:00:00.000,W,859904,807081,1666985
2019-09-19T00:00:00.000,W,845624,816086,1661710
2019-09-20T00:00:00.000,W,830757,803291,1634048
2019-09-21T00:00:00.000,A,489155,440464,929619
2019-09-22T00:00:00.000,U,338418,299658,638076
2019-09-23T00:00:00.000,W,832762,766712,1599474
2019-09-24T00:00:00.000,W,850825,780378,1631203
2019-09-25T00:00:00.000,W,859089,781453,1640542
2019-09-26T00:00:00.000,W,853333,791418,1644751
2019-09-27T00:00:00.000,W,734962,699996,1434958
2019-09-28T00:00:00.000,A,476234,401745,877979
2019-09-29T00:00:00.000,U,358174,294350,652524
2019-09-30T00:00:00.000,W,850333,738159,1588492
2019-10-01T00:00:00.000,W,905477,772082,1677559
2019-10-02T00:00:00.000,W,844694,765652,1610346
2019-10-03T00:00:00.000,W,885919,781701,1667620
2019-10-04T00:00:00.000,W,851906,740946,1592852
2019-10-05T00:00:00.000,A,492689,388710,881399
2019-10-06T00:00:00.000,U,403747,306647,710394
2019-10-07T00:00:00.000,W,845146,748413,1593559
2019-10-08T00:00:00.000,W,868009,773805,1641814
2019-10-09T00:00:00.000,W,857532,766121,1623653
2019-10-10T00:00:00.000,W,855556,803767,1659323
2019-10-11T00:00:00.000,W,776609,762011,1538620
2019-10-12T00:00:00.000,A,480048,470284,950332
2019-10-13T00:00:00.000,U,319885,522816,842701
2019-10-14T00:00:00.000,W,666607,698402,1365009
2019-10-15T00:00:00.000,W,844826,788101,1632927
2019-10-16T00:00:00.000,W,845543,782133,1627676
2019-10-17T00:00:00.000,W,787285,790202,1577487
2019-10-18T00:00:00.000,W,762811,778466,1541277
2019-10-19T00:00:00.000,A,499700,467794,967494
2019-10-20T00:00:00.000,U,377822,340156,717978
2019-10-21T00:00:00.000,W,739027,727743,1466770
2019-10-22T00:00:00.000,W,772142,750644,1522786
2019-10-23T00:00:00.000,W,789783,791468,1581251
2019-10-24T00:00:00.000,W,790853,766559,1557412
2019-10-25T00:00:00.000,W,757907,729221,1487128
2019-10-26T00:00:00.000,A,412819,356371,769190
2019-10-27T00:00:00.000,U,390090,314740,704830
2019-10-28T00:00:00.000,W,762580,729809,1492389
2019-10-29T00:00:00.000,W,781400,752054,1533454
2019-10-30T00:00:00.000,W,733054,721966,1455020
2019-10-31T00:00:00.000,W,698934,693962,1392896
2019-11-01T00:00:00.000,W,798542,719267,1517809
2019-11-02T00:00:00.000,A,467877,381954,849831
2019-11-03T00:00:00.000,U,356367,310621,666988
2019-11-04T00:00:00.000,W,848867,749735,1598602
2019-11-05T00:00:00.000,W,855055,769233,1624288
2019-11-06T00:00:00.000,W,840399,762015,1602414
2019-11-07T00:00:00.000,W,821063,768460,1589523
2019-11-08T00:00:00.000,W,718820,702518,1421338
2019-11-09T00:00:00.000,A,479816,386355,866171
2019-11-10T00:00:00.000,U,353042,292170,645212
2019-11-11T00:00:00.000,W,590714,604475,1195189
2019-11-12T00:00:00.000,W,756604,724448,1481052
2019-11-13T00:00:00.000,W,762247,729140,1491387
2019-11-14T00:00:00.000,W,764328,745044,1509372
2019-11-15T00:00:00.000,W,794430,732607,1527037
2019-11-16T00:00:00.000,A,467987,398924,866911
2019-11-17T00:00:00.000,U,340985,280372,621357
2019-11-18T00:00:00.000,W,807951,731335,1539286
2019-11-19T00:00:00.000,W,822152,755257,1577409
2019-11-20T00:00:00.000,W,839934,756096,1596030
2019-11-21T00:00:00.000,W,790016,752762,1542778
2019-11-22T00:00:00.000,W,817445,782838,1600283
2019-11-23T00:00:00.000,A,468337,443394,911731
2019-11-24T00:00:00.000,U,358133,301849,659982
2019-11-25T00:00:00.000,W,810928,721624,1532552
2019-11-26T00:00:00.000,W,791651,707015,1498666
2019-11-27T00:00:00.000,W,669245,576379,1245624
2019-11-28T00:00:00.000,U,244233,186732,430965
2019-11-29T00:00:00.000,W,480801,373012,853813
2019-11-30T00:00:00.000,A,386439,302733,689172
2019-12-01T00:00:00.000,U,315646,257317,572963
2019-12-02T00:00:00.000,W,803894,702424,1506318
2019-12-03T00:00:00.000,W,849440,732651,1582091
2019-12-04T00:00:00.000,W,837738,739104,1576842
2019-12-05T00:00:00.000,W,833516,761399,1594915
2019-12-06T00:00:00.000,W,799551,729231,1528782
2019-12-07T00:00:00.000,A,472207,404394,876601
2019-12-08T00:00:00.000,U,347917,286023,633940
2019-12-09T00:00:00.000,W,786431,690443,1476874
2019-12-10T00:00:00.000,W,770888,697269,1468157
2019-12-11T00:00:00.000,W,753922,692730,1446652
2019-12-12T00:00:00.000,W,787393,716707,1504100
2019-12-13T00:00:00.000,W,788504,704438,1492942
2019-12-14T00:00:00.000,A,471203,367508,838711
2019-12-15T00:00:00.000,U,348516,255659,604175
2019-12-16T00:00:00.000,W,743694,648766,1392460
2019-12-17T00:00:00.000,W,765207,678194,1443401
2019-12-18T00:00:00.000,W,734493,658439,1392932
2019-12-19T00:00:00.000,W,745959,664554,1410513
2019-12-20T00:00:00.000,W,731997,640236,1372233
2019-12-21T00:00:00.000,A,454167,356991,811158
2019-12-22T00:00:00.000,U,350959,283094,634053
2019-12-23T00:00:00.000,W,601685,501524,1103209
2019-12-24T00:00:00.000,W,462098,310604,772702
2019-12-25T00:00:00.000,U,200121,133009,333130
2019-12-26T00:00:00.000,W,517911,402948,920859
2019-12-27T00:00:00.000,W,552198,445835,998033
2019-12-28T00:00:00.000,A,394869,298646,693515
2019-12-29T00:00:00.000,U,315428,251105,566533
2019-12-30T00:00:00.000,W,544713,480721,1025434
2019-12-31T00:00:00.000,W,511289,431677,942966
2020-01-01T00:00:00.000,U,267300,255759,523059
2020-01-02T00:00:00.000,W,651421,565139,1216560
2020-01-03T00:00:00.000,W,688165,578202,1266367
2020-01-04T00:00:00.000,A,409243,306656,715899
2020-01-05T00:00:00.000,U,314424,234155,548579
2020-01-06T00:00:00.000,W,750349,659521,1409870
2020-01-07T00:00:00.000,W,775765,677497,1453262
2020-01-08T00:00:00.000,W,744261,665227,1409488
2020-01-09T00:00:00.000,W,758063,679244,1437307
2020-01-10T00:00:00.000,W,753866,654344,1408210
2020-01-11T00:00:00.000,A,345787,281493,627280
2020-01-12T00:00:00.000,U,294457,237736,532193
2020-01-13T00:00:00.000,W,775861,699927,1475788
2020-01-14T00:00:00.000,W,807239,720277,1527516
2020-01-15T00:00:00.000,W,794821,720057,1514878
2020-01-16T00:00:00.000,W,774375,715978,1490353
2020-01-17T00:00:00.000,W,737073,687789,1424862
2020-01-18T00:00:00.000,A,371460,319878,691338
2020-01-19T00:00:00.000,U,256029,219005,475034
2020-01-20T00:00:00.000,W,477995,410324,888319
2020-01-21T00:00:00.000,W,789718,712386,1502104
2020-01-22T00:00:00.000,W,794213,715399,1509612
2020-01-23T00:00:00.000,W,768601,717469,1486070
2020-01-24T00:00:00.000,W,745526,677320,1422846
2020-01-25T00:00:00.000,A,408051,320905,728956
2020-01-26T00:00:00.000,U,318824,241153,559977
2020-01-27T00:00:00.000,W,790014,697371,1487385
2020-01-28T00:00:00.000,W,802484,715500,1517984
2020-01-29T00:00:00.000,W,793740,711177,1504917
2020-01-30T00:00:00.000,W,787640,718793,1506433
2020-01-31T00:00:00.000,W,735622,665472,1401094
2020-02-01T00:00:00.000,A,449112,325925,775037
2020-02-02T00:00:00.000,U,352056,253149,605205
2020-02-03T00:00:00.000,W,816538,689308,1505846
2020-02-04T00:00:00.000,W,806946,710072,1517018
2020-02-05T00:00:00.000,W,802795,707772,1510567
2020-02-06T00:00:00.000,W,761859,701795,1463654
2020-02-07T00:00:00.000,W,778480,676805,1455285
2020-02-08T00:00:00.000,A,456540,325289,781829
2020-02-09T00:00:00.000,U,310705,223411,534116
2020-02-10T00:00:00.000,W,799851,694168,1494019
2020-02-11T00:00:00.000,W,819275,717350,1536625
2020-02-12T00:00:00.000,W,785838,697300,1483138
2020-02-13T00:00:00.000,W,746798,689019,1435817
2020-02-14T00:00:00.000,W,674960,628729,1303689
2020-02-15T00:00:00.000,A,408435,326795,735230
2020-02-16T00:00:00.000,U,338343,267790,606133
2020-02-17T00:00:00.000,W,567523,502927,1070450
2020-02-18T00:00:00.000,W,815098,711305,1526403
2020-02-19T00:00:00.000,W,804097,707598,1511695
2020-02-20T00:00:00.000,W,778698,700575,1479273
2020-02-21T00:00:00.000,W,782853,675973,1458826
2020-02-22T00:00:00.000,A,463771,344117,807888
2020-02-23T00:00:00.000,U,357784,260505,618289
2020-02-24T00:00:00.000,W,789498,682036,1471534
2020-02-25T00:00:00.000,W,781725,693749,1475474
2020-02-26T00:00:00.000,W,756936,682501,1439437
2020-02-27T00:00:00.000,W,778992,698886,1477878
2020-02-28T00:00:00.000,W,786008,665937,1451945
2020-02-29T00:00:00.000,A,458601,337983,796584
2020-03-01T00:00:00.000,U,357257,267438,624695
2020-03-02T00:00:00.000,W,785700,666046,1451746
2020-03-03T00:00:00.000,W,834640,701777,1536417
2020-03-04T00:00:00.000,W,815420,699192,1514612
2020-03-05T00:00:00.000,W,803260,698732,1501992
2020-03-06T00:00:00.000,W,767084,655010,1422094
2020-03-07T00:00:00.000,A,455672,366530,822202
2020-03-08T00:00:00.000,U,343291,269577,612868
2020-03-09T00:00:00.000,W,736013,647602,1383615
2020-03-10T00:00:00.000,W,787025,678996,1466021
2020-03-11T00:00:00.000,W,767610,660739,1428349
2020-03-12T00:00:00.000,W,737628,601682,1339310
2020-03-13T00:00:00.000,W,674594,496474,1171068
2020-03-14T00:00:00.000,A,347925,235841,583766
2020-03-15T00:00:00.000,U,256591,166575,423166
2020-03-16T00:00:00.000,W,493179,284844,778023
2020-03-17T00:00:00.000,W,390091,217294,607385
2020-03-18T00:00:00.000,W,320242,179316,499558
2020-03-19T00:00:00.000,W,305501,163013,468514
2020-03-20T00:00:00.000,W,303882,152797,456679
2020-03-21T00:00:00.000,A,185406,86695,272101
2020-03-22T00:00:00.000,U,113282,60490,173772
2020-03-23T00:00:00.000,W,212121,103992,316113
2020-03-24T00:00:00.000,W,220319,105312,325631
2020-03-25T00:00:00.000,W,229414,106913,336327
2020-03-26T00:00:00.000,W,211746,100860,312606
2020-03-27T00:00:00.000,W,220715,102714,323429
2020-03-28T00:00:00.000,A,144561,68572,213133
2020-03-29T00:00:00.000,U,111188,57736,168924
2020-03-30T00:00:00.000,W,208762,96996,305758
2020-03-31T00:00:00.000,W,200537,94709,295246
2020-04-01T00:00:00.000,W,235503,100042,335545
2020-04-02T00:00:00.000,W,214222,95183,309405
2020-04-03T00:00:00.000,W,240528,101015,341543
2020-04-04T00:00:00.000,A,154302,65727,220029
2020-04-05T00:00:00.000,U,118701,53173,171874
2020-04-06T00:00:00.000,W,199323,89714,289037
2020-04-07T00:00:00.000,W,202629,90824,293453
2020-04-08T00:00:00.000,W,197789,88894,286683
2020-04-09T00:00:00.000,W,189898,86725,276623
2020-04-10T00:00:00.000,W,202934,85608,288542
2020-04-11T00:00:00.000,A,161743,59808,221551
2020-04-12T00:00:00.000,U,117907,46243,164150
2020-04-13T00:00:00.000,W,199679,79074,278753
2020-04-14T00:00:00.000,W,196277,79616,275893
2020-04-15T00:00:00.000,W,199545,78844,278389
2020-04-16T00:00:00.000,W,213862,79764,293626
2020-04-17T00:00:00.000,W,205280,77935,283215
2020-04-18T00:00:00.000,A,175887,58347,234234
2020-04-19T00:00:00.000,U,135539,47512,183051
2020-04-20T00:00:00.000,W,225938,79017,304955
2020-04-21T00:00:00.000,W,219120,77886,297006
2020-04-22T00:00:00.000,W,213080,77822,290902
2020-04-23T00:00:00.000,W,214131,77918,292049
2020-04-24T00:00:00.000,W,225498,78966,304464
2020-04-25T00:00:00.000,A,156179,51764,207943
2020-04-26T00:00:00.000,U,145023,47350,192373
2020-04-27T00:00:00.000,W,230903,77830,308733
2020-04-28T00:00:00.000,W,229831,79284,309115
2020-04-29T00:00:00.000,W,205453,74942,280395
2020-04-30T00:00:00.000,W,224948,79783,304731
2020-05-01T00:00:00.000,W,272700,89139,361839
2020-05-02T00:00:00.000,A,210617,59142,269759
2020-05-03T00:00:00.000,U,155791,49160,204951
2020-05-04T00:00:00.000,W,244960,79706,324666
2020-05-05T00:00:00.000,W,224885,77485,302370
2020-05-06T00:00:00.000,W,248434,82526,330960
2020-05-07T00:00:00.000,W,247597,83941,331538
2020-05-08T00:00:00.000,W,242402,82107,324509
2020-05-09T00:00:00.000,A,206907,59372,266279
2020-05-10T00:00:00.000,U,134047,43773,177820
2020-05-11T00:00:00.000,W,236521,77650,314171
2020-05-12T00:00:00.000,W,244938,81217,326155
2020-05-13T00:00:00.000,W,259169,83529,342698
2020-05-14T00:00:00.000,W,211894,76152,288046
2020-05-15T00:00:00.000,W,261148,82454,343602
2020-05-16T00:00:00.000,A,204433,60144,264577
2020-05-17T00:00:00.000,U,119698,40451,160149
2020-05-18T00:00:00.000,W,242568,80822,323390
2020-05-19T00:00:00.000,W,228412,79752,308164
2020-05-20T00:00:00.000,W,253916,85596,339512
2020-05-21T00:00:00.000,W,244336,85164,329500
2020-05-22T00:00:00.000,W,255894,86436,342330
2020-05-23T00:00:00.000,A,198708,59164,257872
2020-05-24T00:00:00.000,U,171095,53281,224376
2020-05-25T00:00:00.000,U,170039,52921,222960
2020-05-26T00:00:00.000,W,260758,84940,345698
2020-05-27T00:00:00.000,W,258713,86518,345231
2020-05-28T00:00:00.000,W,250675,86579,337254
2020-05-29T00:00:00.000,W,265087,92565,357652
2020-05-30T00:00:00.000,A,210004,69848,279852
2020-05-31T00:00:00.000,U,86503,23544,110047
2020-06-01T00:00:00.000,W,146931,27517,174448
2020-06-02T00:00:00.000,W,154414,31544,185958
2020-06-03T00:00:00.000,W,207502,68423,275925
2020-06-04T00:00:00.000,W,236590,83605,320195
2020-06-05T00:00:00.000,W,252137,90734,342871
2020-06-06T00:00:00.000,A,184406,69622,254028
2020-06-07T00:00:00.000,U,143697,53232,196929
2020-06-08T00:00:00.000,W,263520,100516,364036
