station_id,stationname,date,daytype,rides
41270,43rd,2020-12-16T00:00:00.000,W,282
40290,Ashland/63rd,2019-03-18T00:00:00.000,W,1001
40080,Sheridan,2024-09-11T00:00:00.000,W,2937
41050,Linden,2024-03-28T00:00:00.000,W,382
40140,Dempster-Skokie,2023-09-04T00:00:00.000,U,855
40050,Davis,2022-03-28T00:00:00.000,W,1311
41240,Addison-O'Hare,2023-12-26T00:00:00.000,W,856
41150,Kedzie-Midway,2019-08-20T00:00:00.000,W,3001
40590,Damen/Milwaukee,2019-10-27T00:00:00.000,U,3636
40790,Monroe/Dearborn,2022-08-25T00:00:00.000,W,3207
40020,Harlem-Lake,2023-02-04T00:00:00.000,A,970
41480,Western-Brown,2024-09-09T00:00:00.000,W,1707
40930,Midway Airport,2021-10-30T00:00:00.000,A,2183
40520,Foster,2020-12-20T00:00:00.000,U,59
41360,California-Lake,2020-05-01T00:00:00.000,W,274
40730,Washington/Wells,2019-12-04T00:00:00.000,W,8843
40830,18th,2020-02-10T00:00:00.000,W,1648
40050,Davis,2024-12-09T00:00:00.000,W,1676
40610,Ridgeland,2023-04-23T00:00:00.000,U,194
41220,Fullerton,2021-08-19T00:00:00.000,W,3888
40760,Granville,2024-11-26T00:00:00.000,W,2327
40520,Foster,2021-01-26T00:00:00.000,W,127
40840,South Boulevard,2024-12-21T00:00:00.000,A,223
40420,Cicero-Cermak,2023-01-26T00:00:00.000,W,659
41200,Argyle,2022-08-28T00:00:00.000,U,1582
40370,Washington/Dearborn,2022-12-09T00:00:00.000,W,5733
40120,35th/Archer,2021-11-04T00:00:00.000,W,1671
41250,Central-Evanston,2019-09-10T00:00:00.000,W,779
41330,Montrose-O'Hare,2021-04-16T00:00:00.000,W,416
40970,Cicero-Forest Park,2020-10-21T00:00:00.000,W,613
41180,Kedzie-Brown,2021-12-03T00:00:00.000,W,1105
41130,Halsted-Orange,2024-08-23T00:00:00.000,W,1438
40470,Racine,2024-10-31T00:00:00.000,W,896
41310,Paulina,2019-04-23T00:00:00.000,W,2950
40690,Dempster,2019-09-26T00:00:00.000,W,785
40490,Grand/Milwaukee,2019-05-07T00:00:00.000,W,2846
40420,Cicero-Cermak,2023-10-20T00:00:00.000,W,930
41410,Chicago/Milwaukee,2023-10-26T00:00:00.000,W,2366
41120,35-Bronzeville-IIT,2024-02-06T00:00:00.000,W,1093
40310,Western-Orange,2020-07-14T00:00:00.000,W,1241
41240,Addison-O'Hare,2023-12-12T00:00:00.000,W,1635
41140,King Drive,2020-04-14T00:00:00.000,W,109
41310,Paulina,2024-02-05T00:00:00.000,W,1386
41000,Cermak-Chinatown,2021-03-10T00:00:00.000,W,1047
41440,Addison-Brown,2021-12-03T00:00:00.000,W,1027
40520,Foster,2023-05-27T00:00:00.000,A,462
41220,Fullerton,2019-09-17T00:00:00.000,W,16713
40090,Damen-Brown,2021-09-28T00:00:00.000,W,1358
40080,Sheridan,2020-07-21T00:00:00.000,W,814
41400,Roosevelt,2022-02-20T00:00:00.000,U,3096
41280,Jefferson Park,2023-03-30T00:00:00.000,W,4070
40150,Pulaski-Cermak,2023-09-03T00:00:00.000,U,404
41380,Bryn Mawr,2019-04-17T00:00:00.000,W,4339
40960,Pulaski-Orange,2021-01-13T00:00:00.000,W,1142
40390,Forest Park,2022-07-13T00:00:00.000,W,1240
40240,79th,2022-01-12T00:00:00.000,W,2298
40230,Cumberland,2023-10-31T00:00:00.000,W,1871
40250,Kedzie-Homan-Forest Park,2023-01-16T00:00:00.000,W,541
41010,Rockwell,2024-05-30T00:00:00.000,W,1068
40390,Forest Park,2020-12-25T00:00:00.000,U,307
41260,Austin-Lake,2020-02-26T00:00:00.000,W,1606
40350,UIC-Halsted,2021-04-05T00:00:00.000,W,699
40730,Washington/Wells,2022-09-30T00:00:00.000,W,3079
40850,Library,2020-02-10T00:00:00.000,W,4008
41060,Ashland-Orange,2024-06-23T00:00:00.000,U,447
41220,Fullerton,2019-06-20T00:00:00.000,W,10659
40040,Quincy/Wells,2023-08-09T00:00:00.000,W,5182
40330,Grand/State,2022-06-03T00:00:00.000,W,5935
41210,Wellington,2022-03-23T00:00:00.000,W,1287
40630,Clark/Division,2024-09-02T00:00:00.000,U,3540
40360,Southport,2020-02-13T00:00:00.000,W,3383
40890,O'Hare Airport,2020-07-09T00:00:00.000,W,2784
41040,Kedzie-Cermak,2019-10-01T00:00:00.000,W,1175
40570,California/Milwaukee,2024-01-25T00:00:00.000,W,3122
40090,Damen-Brown,2019-10-27T00:00:00.000,U,1045
40960,Pulaski-Orange,2021-09-10T00:00:00.000,W,3024
40790,Monroe/Dearborn,2021-11-20T00:00:00.000,A,1482
41280,Jefferson Park,2019-04-12T00:00:00.000,W,6442
40610,Ridgeland,2024-04-05T00:00:00.000,W,534
41200,Argyle,2021-09-30T00:00:00.000,W,2146
40710,Chicago/Franklin,2022-03-23T00:00:00.000,W,2954
41050,Linden,2019-07-31T00:00:00.000,W,1045
40680,Adams/Wabash,2021-01-06T00:00:00.000,W,977
41300,Loyola,2023-06-04T00:00:00.000,U,1707
41450,Chicago/State,2023-08-09T00:00:00.000,W,7870
40060,Belmont-O'Hare,2022-06-20T00:00:00.000,W,1995
40750,Harlem-O'Hare,2020-11-30T00:00:00.000,W,597
41330,Montrose-O'Hare,2023-04-22T00:00:00.000,A,623
41040,Kedzie-Cermak,2020-10-31T00:00:00.000,A,304
40490,Grand/Milwaukee,2022-10-24T00:00:00.000,W,1365
40270,Main,2022-12-26T00:00:00.000,U,220
41190,Jarvis,2024-08-20T00:00:00.000,W,988
41450,Chicago/State,2022-09-08T00:00:00.000,W,7140
40330,Grand/State,2024-01-14T00:00:00.000,U,2252
41170,Garfield-Dan Ryan,2023-07-28T00:00:00.000,W,1439
40300,Indiana,2023-12-04T00:00:00.000,W,370
40690,Dempster,2019-09-25T00:00:00.000,W,783
41290,Kimball,2024-04-22T00:00:00.000,W,2502
41510,Morgan-Lake,2023-01-26T00:00:00.000,W,2668
40850,Library,2021-12-17T00:00:00.000,W,1558
40100,Morse,2019-01-25T00:00:00.000,W,3832
41260,Austin-Lake,2021-12-06T00:00:00.000,W,787
41310,Paulina,2020-05-19T00:00:00.000,W,191
41700,Washington/Wabash,2022-03-22T00:00:00.000,W,5141
41430,87th,2023-11-01T00:00:00.000,W,1956
41310,Paulina,2022-06-12T00:00:00.000,U,757
40600,Kostner,2021-08-11T00:00:00.000,W,196
40610,Ridgeland,2021-02-27T00:00:00.000,A,164
41130,Halsted-Orange,2021-07-02T00:00:00.000,W,868
40390,Forest Park,2024-04-07T00:00:00.000,U,494
41420,Addison-North Main,2023-12-21T00:00:00.000,W,3678
40850,Library,2021-12-20T00:00:00.000,W,1209
40100,Morse,2021-06-27T00:00:00.000,U,2088
40070,Jackson/Dearborn,2022-05-04T00:00:00.000,W,2764
40090,Damen-Brown,2021-10-23T00:00:00.000,A,637
41440,Addison-Brown,2020-12-10T00:00:00.000,W,336
40770,Lawrence,2020-09-13T00:00:00.000,U,549
40160,LaSalle/Van Buren,2023-11-11T00:00:00.000,A,454
41140,King Drive,2022-10-25T00:00:00.000,W,193
41430,87th,2020-10-04T00:00:00.000,U,961
41210,Wellington,2024-08-22T00:00:00.000,W,1560
40610,Ridgeland,2019-08-27T00:00:00.000,W,1402
40450,95th/Dan Ryan,2021-06-10T00:00:00.000,W,3727
40910,63rd-Dan Ryan,2022-12-04T00:00:00.000,U,714
40080,Sheridan,2019-05-29T00:00:00.000,W,4829
40470,Racine,2019-08-09T00:00:00.000,W,1579
40040,Quincy/Wells,2023-03-31T00:00:00.000,W,2454
41450,Chicago/State,2020-10-13T00:00:00.000,W,3000
41300,Loyola,2019-09-13T00:00:00.000,W,7035
41230,47th-Dan Ryan,2019-07-31T00:00:00.000,W,2861
40240,79th,2020-08-07T00:00:00.000,W,2680
40880,Thorndale,2020-10-21T00:00:00.000,W,726
41030,Polk,2022-01-21T00:00:00.000,W,1336
40510,Garfield-South Elevated,2019-08-23T00:00:00.000,W,1154
40740,Western-Cermak,2024-06-26T00:00:00.000,W,880
40130,51st,2024-04-02T00:00:00.000,W,476
40060,Belmont-O'Hare,2020-10-22T00:00:00.000,W,1414
40190,Sox-35th-Dan Ryan,2021-11-02T00:00:00.000,W,1872
41050,Linden,2023-06-23T00:00:00.000,W,917
41130,Halsted-Orange,2020-12-28T00:00:00.000,W,457
41250,Central-Evanston,2020-03-07T00:00:00.000,A,463
40440,California-Cermak,2024-01-19T00:00:00.000,W,883
41460,Irving Park-Brown,2022-06-01T00:00:00.000,W,1436
40720,East 63rd-Cottage Grove,2019-05-15T00:00:00.000,W,1054
41660,Lake/State,2020-05-01T00:00:00.000,W,1677
40060,Belmont-O'Hare,2022-06-25T00:00:00.000,A,1805
40760,Granville,2024-04-27T00:00:00.000,A,2092
40670,Western/Milwaukee,2024-05-15T00:00:00.000,W,3510
40520,Foster,2024-09-07T00:00:00.000,A,272
40940,Halsted/63rd,2020-02-09T00:00:00.000,U,165
40440,California-Cermak,2020-03-19T00:00:00.000,W,521
40150,Pulaski-Cermak,2021-03-08T00:00:00.000,W,442
40170,Ashland-Lake,2022-12-15T00:00:00.000,W,1790
41360,California-Lake,2020-06-09T00:00:00.000,W,272
40670,Western/Milwaukee,2019-06-26T00:00:00.000,W,5790
40250,Kedzie-Homan-Forest Park,2020-07-06T00:00:00.000,W,646
40600,Kostner,2023-04-20T00:00:00.000,W,287
41480,Western-Brown,2021-06-18T00:00:00.000,W,1517
41120,35-Bronzeville-IIT,2024-01-10T00:00:00.000,W,1109
40240,79th,2024-08-22T00:00:00.000,W,3042
40690,Dempster,2019-02-06T00:00:00.000,W,771
40210,Damen-Cermak,2019-04-20T00:00:00.000,A,826
40820,Rosemont,2023-08-21T00:00:00.000,W,3323
40830,18th,2024-02-14T00:00:00.000,W,1274
41680,Oakton-Skokie,2020-07-08T00:00:00.000,W,209
40250,Kedzie-Homan-Forest Park,2023-12-12T00:00:00.000,W,796
41420,Addison-North Main,2021-07-17T00:00:00.000,A,4541
40150,Pulaski-Cermak,2019-10-04T00:00:00.000,W,1146
40810,Medical Center,2020-03-18T00:00:00.000,W,862
40140,Dempster-Skokie,2019-04-10T00:00:00.000,W,1880
41430,87th,2023-04-16T00:00:00.000,U,794
41000,Cermak-Chinatown,2024-05-20T00:00:00.000,W,3321
40440,California-Cermak,2022-02-07T00:00:00.000,W,754
40090,Damen-Brown,2022-05-03T00:00:00.000,W,1332
40670,Western/Milwaukee,2024-08-12T00:00:00.000,W,2872
40190,Sox-35th-Dan Ryan,2023-03-09T00:00:00.000,W,1624
40240,79th,2019-01-22T00:00:00.000,W,5753
41160,Clinton-Lake,2020-02-28T00:00:00.000,W,4390
40140,Dempster-Skokie,2023-03-15T00:00:00.000,W,773
40560,Jackson/State,2023-07-16T00:00:00.000,U,2044
41690,Cermak-McCormick Place,2024-08-09T00:00:00.000,W,1809
40390,Forest Park,2019-12-27T00:00:00.000,W,2083
40440,California-Cermak,2023-07-31T00:00:00.000,W,998
41070,Kedzie-Lake,2021-04-28T00:00:00.000,W,362
40780,Central Park,2022-02-17T00:00:00.000,W,529
41400,Roosevelt,2023-12-06T00:00:00.000,W,6490
41260,Austin-Lake,2022-05-27T00:00:00.000,W,832
41080,47th-South Elevated,2019-05-14T00:00:00.000,W,1023
41680,Oakton-Skokie,2022-09-12T00:00:00.000,W,504
40220,Western-Forest Park,2023-05-06T00:00:00.000,A,485
40880,Thorndale,2024-02-14T00:00:00.000,W,2006
40830,18th,2022-04-21T00:00:00.000,W,1218
40710,Chicago/Franklin,2022-05-31T00:00:00.000,W,3261
40530,Diversey,2019-05-08T00:00:00.000,W,5917
40890,O'Hare Airport,2020-09-23T00:00:00.000,W,2596
40360,Southport,2020-02-06T00:00:00.000,W,3487
41240,Addison-O'Hare,2019-02-21T00:00:00.000,W,3039
41400,Roosevelt,2022-08-03T00:00:00.000,W,5496
41410,Chicago/Milwaukee,2019-09-18T00:00:00.000,W,4333
40010,Austin-Forest Park,2021-06-24T00:00:00.000,W,562
40320,Division/Milwaukee,2024-04-07T00:00:00.000,U,1506
41330,Montrose-O'Hare,2023-05-31T00:00:00.000,W,1415
40480,Cicero-Lake,2024-04-11T00:00:00.000,W,754
40880,Thorndale,2022-03-30T00:00:00.000,W,1231
41230,47th-Dan Ryan,2023-05-18T00:00:00.000,W,1386
41680,Oakton-Skokie,2023-10-15T00:00:00.000,U,178
40180,Oak Park-Forest Park,2022-12-13T00:00:00.000,W,626
40470,Racine,2020-10-30T00:00:00.000,W,330
40560,Jackson/State,2024-07-31T00:00:00.000,W,4090
40660,Armitage,2020-04-21T00:00:00.000,W,150
40070,Jackson/Dearborn,2019-12-03T00:00:00.000,W,7432
41070,Kedzie-Lake,2023-03-12T00:00:00.000,U,276
41380,Bryn Mawr,2023-09-21T00:00:00.000,W,1885
40570,California/Milwaukee,2023-01-14T00:00:00.000,A,1659
41310,Paulina,2019-11-04T00:00:00.000,W,2957
40020,Harlem-Lake,2020-12-28T00:00:00.000,W,981
40320,Division/Milwaukee,2021-07-05T00:00:00.000,U,1324
41160,Clinton-Lake,2022-02-07T00:00:00.000,W,1493
41450,Chicago/State,2023-03-15T00:00:00.000,W,6590
40810,Medical Center,2022-04-12T00:00:00.000,W,1275
41170,Garfield-Dan Ryan,2024-09-08T00:00:00.000,U,994
40970,Cicero-Forest Park,2020-10-31T00:00:00.000,A,431
40390,Forest Park,2020-08-16T00:00:00.000,U,476
40160,LaSalle/Van Buren,2019-11-07T00:00:00.000,W,3511
41400,Roosevelt,2023-10-18T00:00:00.000,W,7540
40850,Library,2023-08-11T00:00:00.000,W,2340
41680,Oakton-Skokie,2022-09-22T00:00:00.000,W,536
40140,Dempster-Skokie,2021-02-03T00:00:00.000,W,380
40440,California-Cermak,2021-09-03T00:00:00.000,W,915
40050,Davis,2023-06-19T00:00:00.000,W,1237
40080,Sheridan,2024-08-29T00:00:00.000,W,3320
41420,Addison-North Main,2024-10-12T00:00:00.000,A,5415
40850,Library,2021-09-03T00:00:00.000,W,2099
41240,Addison-O'Hare,2022-03-26T00:00:00.000,A,597
40790,Monroe/Dearborn,2019-05-09T00:00:00.000,W,8656
40560,Jackson/State,2023-09-26T00:00:00.000,W,5790
41420,Addison-North Main,2023-10-01T00:00:00.000,U,3372
40990,69th,2023-06-01T00:00:00.000,W,2215
40760,Granville,2019-07-23T00:00:00.000,W,3518
41430,87th,2020-02-19T00:00:00.000,W,3427
40670,Western/Milwaukee,2020-08-17T00:00:00.000,W,876
40360,Southport,2021-06-30T00:00:00.000,W,1116
40250,Kedzie-Homan-Forest Park,2024-02-23T00:00:00.000,W,901
40560,Jackson/State,2022-08-28T00:00:00.000,U,1298
40080,Sheridan,2019-12-16T00:00:00.000,W,4405
41080,47th-South Elevated,2019-04-18T00:00:00.000,W,897
40120,35th/Archer,2020-08-09T00:00:00.000,U,396
40790,Monroe/Dearborn,2023-08-11T00:00:00.000,W,2459
41670,Conservatory,2020-05-28T00:00:00.000,W,312
40820,Rosemont,2022-06-07T00:00:00.000,W,3249
41030,Polk,2021-11-16T00:00:00.000,W,2028
40700,Laramie,2023-03-03T00:00:00.000,W,516
41510,Morgan-Lake,2024-09-13T00:00:00.000,W,3317
40520,Foster,2020-03-31T00:00:00.000,W,82
40960,Pulaski-Orange,2019-12-01T00:00:00.000,U,1420
41090,Monroe/State,2019-12-14T00:00:00.000,A,3848
40810,Medical Center,2021-11-05T00:00:00.000,W,1363
41250,Central-Evanston,2022-07-14T00:00:00.000,W,473
40420,Cicero-Cermak,2022-03-19T00:00:00.000,A,513
40360,Southport,2024-07-20T00:00:00.000,A,1855
41150,Kedzie-Midway,2020-08-25T00:00:00.000,W,1141
40130,51st,2023-10-16T00:00:00.000,W,530
41010,Rockwell,2022-11-05T00:00:00.000,A,509
40770,Lawrence,2020-03-26T00:00:00.000,W,475
40610,Ridgeland,2020-12-16T00:00:00.000,W,206
40040,Quincy/Wells,2019-01-21T00:00:00.000,W,-1
40540,Wilson,2020-04-02T00:00:00.000,W,1292
40010,Austin-Forest Park,2024-11-30T00:00:00.000,A,230
40050,Davis,2024-09-30T00:00:00.000,W,1783
40730,Washington/Wells,2020-03-27T00:00:00.000,W,580
40050,Davis,2024-12-19T00:00:00.000,W,1457
40520,Foster,2022-02-01T00:00:00.000,W,340
40460,Merchandise Mart,2024-09-01T00:00:00.000,U,1557
41290,Kimball,2024-09-22T00:00:00.000,U,1486
40730,Washington/Wells,2023-10-20T00:00:00.000,W,3399
40800,Sedgwick,2022-11-02T00:00:00.000,W,2440
41070,Kedzie-Lake,2023-08-13T00:00:00.000,U,407
40470,Racine,2023-12-30T00:00:00.000,A,229
40970,Cicero-Forest Park,2024-06-19T00:00:00.000,W,479
40920,Pulaski-Forest Park,2021-11-22T00:00:00.000,W,863
41430,87th,2024-07-18T00:00:00.000,W,1725
41690,Cermak-McCormick Place,2021-08-09T00:00:00.000,W,665
41420,Addison-North Main,2022-04-05T00:00:00.000,W,3279
40250,Kedzie-Homan-Forest Park,2019-10-08T00:00:00.000,W,2034
40400,Noyes,2024-01-29T00:00:00.000,W,492
41690,Cermak-McCormick Place,2023-01-10T00:00:00.000,W,809
40380,Clark/Lake,2023-12-05T00:00:00.000,W,9147
40600,Kostner,2023-03-22T00:00:00.000,W,227
41080,47th-South Elevated,2020-08-07T00:00:00.000,W,416
40160,LaSalle/Van Buren,2020-07-17T00:00:00.000,W,410
41270,43rd,2022-02-20T00:00:00.000,U,180
41080,47th-South Elevated,2024-06-20T00:00:00.000,W,630
41430,87th,2020-04-10T00:00:00.000,W,1208
40900,Howard,2023-01-09T00:00:00.000,W,2490
40310,Western-Orange,2020-08-08T00:00:00.000,A,843
40030,Pulaski-Lake,2022-03-11T00:00:00.000,W,622
40080,Sheridan,2024-09-02T00:00:00.000,U,1616
40790,Monroe/Dearborn,2024-04-14T00:00:00.000,U,1136
40390,Forest Park,2020-03-14T00:00:00.000,A,903
41200,Argyle,2022-04-15T00:00:00.000,W,2153
40190,Sox-35th-Dan Ryan,2022-01-01T00:00:00.000,A,623
40090,Damen-Brown,2019-01-05T00:00:00.000,A,1429
40300,Indiana,2024-02-16T00:00:00.000,W,324
40020,Harlem-Lake,2021-04-25T00:00:00.000,U,686
40010,Austin-Forest Park,2024-05-21T00:00:00.000,W,689
41020,Logan Square,2021-04-07T00:00:00.000,W,1585
40220,Western-Forest Park,2022-08-28T00:00:00.000,U,429
40370,Washington/Dearborn,2020-04-28T00:00:00.000,W,681
41290,Kimball,2019-06-26T00:00:00.000,W,4050
41680,Oakton-Skokie,2024-05-09T00:00:00.000,W,418
40530,Diversey,2020-02-26T00:00:00.000,W,5535
40230,Cumberland,2020-10-18T00:00:00.000,U,393
41030,Polk,2021-09-10T00:00:00.000,W,1952
41440,Addison-Brown,2020-06-14T00:00:00.000,U,137
40870,Francisco,2023-08-08T00:00:00.000,W,976
40530,Diversey,2019-02-20T00:00:00.000,W,5659
40090,Damen-Brown,2024-05-08T00:00:00.000,W,2013
40740,Western-Cermak,2024-06-29T00:00:00.000,A,653
40240,79th,2022-12-03T00:00:00.000,A,1934
40380,Clark/Lake,2024-08-14T00:00:00.000,W,10272
41050,Linden,2023-01-04T00:00:00.000,W,359
40300,Indiana,2019-09-06T00:00:00.000,W,813
41420,Addison-North Main,2021-06-25T00:00:00.000,W,3131
41250,Central-Evanston,2019-08-06T00:00:00.000,W,825
40560,Jackson/State,2023-08-28T00:00:00.000,W,3522
40080,Sheridan,2023-08-02T00:00:00.000,W,2889
40530,Diversey,2019-04-24T00:00:00.000,W,5575
40890,O'Hare Airport,2024-05-28T00:00:00.000,W,9531
41450,Chicago/State,2023-10-09T00:00:00.000,W,8334
40430,Clinton-Forest Park,2021-05-31T00:00:00.000,U,510
40430,Clinton-Forest Park,2021-03-06T00:00:00.000,A,366
40840,South Boulevard,2019-01-19T00:00:00.000,A,381
40510,Garfield-South Elevated,2022-08-14T00:00:00.000,U,336
40030,Pulaski-Lake,2024-12-03T00:00:00.000,W,864
41040,Kedzie-Cermak,2019-09-23T00:00:00.000,W,1141
40450,95th/Dan Ryan,2022-07-19T00:00:00.000,W,4350
40970,Cicero-Forest Park,2019-11-09T00:00:00.000,A,911
40470,Racine,2019-10-09T00:00:00.000,W,2556
41080,47th-South Elevated,2024-07-30T00:00:00.000,W,633
40320,Division/Milwaukee,2023-04-08T00:00:00.000,A,2013
41270,43rd,2021-06-24T00:00:00.000,W,358
40750,Harlem-O'Hare,2023-03-13T00:00:00.000,W,1339
40890,O'Hare Airport,2024-01-01T00:00:00.000,U,6707
40460,Merchandise Mart,2020-03-03T00:00:00.000,W,8279
41430,87th,2020-11-07T00:00:00.000,A,1116
41430,87th,2022-05-28T00:00:00.000,A,1235
40600,Kostner,2021-07-17T00:00:00.000,A,160
40260,State/Lake,2023-07-07T00:00:00.000,W,7096
40670,Western/Milwaukee,2023-07-16T00:00:00.000,U,1421
40140,Dempster-Skokie,2020-07-14T00:00:00.000,W,383
41010,Rockwell,2019-12-04T00:00:00.000,W,1976
40760,Granville,2021-04-18T00:00:00.000,U,915
40310,Western-Orange,2020-05-14T00:00:00.000,W,571
40800,Sedgwick,2024-04-01T00:00:00.000,W,1791
41310,Paulina,2024-07-09T00:00:00.000,W,1871
40070,Jackson/Dearborn,2022-04-24T00:00:00.000,U,1087
40740,Western-Cermak,2021-09-27T00:00:00.000,W,648
40220,Western-Forest Park,2020-10-25T00:00:00.000,U,242
41130,Halsted-Orange,2020-03-26T00:00:00.000,W,304
40570,California/Milwaukee,2023-11-08T00:00:00.000,W,3237
40600,Kostner,2024-12-08T00:00:00.000,U,124
40330,Grand/State,2022-05-19T00:00:00.000,W,5112
40750,Harlem-O'Hare,2023-05-24T00:00:00.000,W,1757
40060,Belmont-O'Hare,2022-02-27T00:00:00.000,U,1006
40970,Cicero-Forest Park,2020-02-08T00:00:00.000,A,765
41300,Loyola,2020-09-22T00:00:00.000,W,1285
40840,South Boulevard,2022-01-07T00:00:00.000,W,230
40010,Austin-Forest Park,2023-04-17T00:00:00.000,W,646
40360,Southport,2019-07-30T00:00:00.000,W,3642
40730,Washington/Wells,2021-10-23T00:00:00.000,A,809
40310,Western-Orange,2019-08-23T00:00:00.000,W,3625
40440,California-Cermak,2024-09-28T00:00:00.000,A,708
40280,Central-Lake,2020-04-26T00:00:00.000,U,354
40550,Irving Park-O'Hare,2019-10-16T00:00:00.000,W,4608
40790,Monroe/Dearborn,2021-01-18T00:00:00.000,W,545
40390,Forest Park,2023-02-04T00:00:00.000,A,399
41510,Morgan-Lake,2020-11-09T00:00:00.000,W,687
40930,Midway Airport,2020-08-10T00:00:00.000,W,1222
40060,Belmont-O'Hare,2022-10-31T00:00:00.000,W,2693
41230,47th-Dan Ryan,2020-12-07T00:00:00.000,W,873
41160,Clinton-Lake,2024-01-14T00:00:00.000,U,385
41320,Belmont-North Main,2021-02-20T00:00:00.000,A,2308
40760,Granville,2019-09-23T00:00:00.000,W,3976
41500,Montrose-Brown,2019-10-26T00:00:00.000,A,1327
41170,Garfield-Dan Ryan,2019-10-07T00:00:00.000,W,2984
40590,Damen/Milwaukee,2023-02-15T00:00:00.000,W,2839
40780,Central Park,2024-12-02T00:00:00.000,W,717
40360,Southport,2024-12-17T00:00:00.000,W,2373
41460,Irving Park-Brown,2021-10-29T00:00:00.000,W,1181
41170,Garfield-Dan Ryan,2024-12-17T00:00:00.000,W,1567
40370,Washington/Dearborn,2022-07-19T00:00:00.000,W,6686
41120,35-Bronzeville-IIT,2023-11-12T00:00:00.000,U,626
41160,Clinton-Lake,2024-04-19T00:00:00.000,W,2017
40050,Davis,2024-09-07T00:00:00.000,A,1414
41660,Lake/State,2023-09-26T00:00:00.000,W,10472
40910,63rd-Dan Ryan,2023-01-02T00:00:00.000,U,711
41340,LaSalle,2021-02-21T00:00:00.000,U,246
40560,Jackson/State,2022-04-20T00:00:00.000,W,3444
41050,Linden,2021-01-05T00:00:00.000,W,150
41000,Cermak-Chinatown,2019-12-27T00:00:00.000,W,3564
40430,Clinton-Forest Park,2021-02-27T00:00:00.000,A,375
40100,Morse,2023-12-09T00:00:00.000,A,2162
41000,Cermak-Chinatown,2019-10-22T00:00:00.000,W,4484
41330,Montrose-O'Hare,2021-12-31T00:00:00.000,U,451
41290,Kimball,2024-08-04T00:00:00.000,U,1665
41040,Kedzie-Cermak,2021-11-09T00:00:00.000,W,569
40290,Ashland/63rd,2021-09-17T00:00:00.000,W,543
41020,Logan Square,2023-11-15T00:00:00.000,W,4578
41340,LaSalle,2024-08-12T00:00:00.000,W,1644
41360,California-Lake,2024-03-08T00:00:00.000,W,644
40830,18th,2021-12-22T00:00:00.000,W,763
41480,Western-Brown,2023-01-12T00:00:00.000,W,2041
40180,Oak Park-Forest Park,2020-01-04T00:00:00.000,A,407
41240,Addison-O'Hare,2024-02-22T00:00:00.000,W,1729
40930,Midway Airport,2021-10-03T00:00:00.000,U,2328
40160,LaSalle/Van Buren,2020-02-09T00:00:00.000,U,316
40790,Monroe/Dearborn,2019-09-08T00:00:00.000,U,1593
41210,Wellington,2020-01-27T00:00:00.000,W,3199
40740,Western-Cermak,2020-11-20T00:00:00.000,W,515
40630,Clark/Division,2022-01-26T00:00:00.000,W,3004
40180,Oak Park-Forest Park,2019-08-20T00:00:00.000,W,1727
40740,Western-Cermak,2023-09-07T00:00:00.000,W,836
41020,Logan Square,2022-02-20T00:00:00.000,U,1344
41280,Jefferson Park,2023-04-02T00:00:00.000,U,1640
41150,Kedzie-Midway,2024-10-16T00:00:00.000,W,2600
40840,South Boulevard,2021-01-28T00:00:00.000,W,175
40130,51st,2019-08-30T00:00:00.000,W,952
