Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,PetID,PhotoAmt,AdoptionSpeed
Dog,,1,Mixed Breed,,2,Brown,White,,2,1,1,1,2,1,0,Selangor,4cc70e613,1,3
Dog,MPSP-F-01,2,Mixed Breed,,2,Black,Brown,,2,1,1,2,2,1,0,Pulau Pinang,ff125cf8d,1,4
Dog,Teddy,3,Silky Terrier,,1,Black,Brown,,1,3,1,1,3,1,750,Selangor,c30dd6e9a,2,1
Dog,Tanto In Kulim,3,Mixed Breed,,1,Black,White,,2,2,2,1,2,1,0,Kedah,be9474b85,1,2
Dog,Cody,3,Mixed Breed,Labrador Retriever,1,Cream,,,2,2,3,3,2,1,0,Selangor,815f4cc08,3,3
Cat,Malee,6,Domestic Medium Hair,,2,Cream,White,,2,2,2,1,2,1,50,Selangor,ec5069cf6,4,3
Cat,Lulu,47,Bombay,Persian,2,Black,Brown,,2,3,2,2,2,1,0,Selangor,e9df3ead7,2,4
Dog,Rottweiler Puppy,2,Rottweiler,Mixed Breed,1,Black,Brown,,3,2,3,3,3,1,0,Selangor,258667857,4,2
Dog,Lion Dog In Training,12,Mixed Breed,,2,Cream,,,2,2,1,1,1,1,0,Perak,fd3172797,11,3
Dog,Molly,2,Mixed Breed,Dalmatian,1,Black,White,,2,1,1,1,2,1,0,Selangor,8df0bb3b3,18,3
Dog,Rocky 06,1,Mixed Breed,,1,Brown,,,2,1,2,2,2,1,0,Perak,3d0752cd9,5,3
Cat,Si Kuning,24,Domestic Short Hair,,1,Yellow,,,3,1,2,2,2,2,0,Melaka,370fe2afb,12,3
Cat,Xiao Huang,24,Domestic Short Hair,,2,Brown,Yellow,,2,1,2,2,1,1,0,Selangor,dd308e46b,1,4
Dog,HeiHei,2,Mixed Breed,,1,Black,Brown,,2,1,2,2,2,1,0,Pulau Pinang,6a763a055,2,3
Cat,Manja,19,Persian,,2,Black,Gray,,3,3,1,1,2,1,0,Kuala Lumpur,5e4154870,3,1
Dog,Miko,4,Silky Terrier,Pekingese,2,Brown,,,1,3,3,1,1,1,0,Kuala Lumpur,a44d42407,3,3
Dog,Fei Chai,24,Mixed Breed,,1,Brown,White,,2,1,2,2,2,1,0,Johor,cc8401c02,3,3
Cat,,3,Domestic Medium Hair,,1,Black,White,,2,2,3,3,2,1,0,Selangor,0f24b6cd6,1,1
Dog,Sweetie Pie,24,Husky,Mixed Breed,2,Black,Gray,White,2,2,3,3,1,1,0,Selangor,43ddb2eb4,2,2
Dog,Jasz Michael,60,Schnauzer,,1,Gray,,,2,2,1,1,1,1,0,Kuala Lumpur,dae92dd61,3,4
Dog,C,1,Mixed Breed,Mixed Breed,2,Black,Brown,White,2,2,1,1,2,1,0,Selangor,a6ac8884b,1,3
Cat,Honey,3,Domestic Short Hair,,2,Brown,Golden,,1,1,1,1,2,1,0,Selangor,60ce9e319,7,1
Cat,Meelow,2,Domestic Medium Hair,,1,Golden,,,1,2,2,2,2,1,0,Kuala Lumpur,5247209aa,2,2
Dog,Doggie R4,2,Mixed Breed,,2,Black,Brown,,2,1,2,2,2,1,0,Kuala Lumpur,d50e11ec5,2,3
Cat,,2,Domestic Short Hair,,2,Gray,White,,2,1,2,1,2,1,0,Kuala Lumpur,4407e70f3,2,1
Dog,Pretzel,3,Mixed Breed,,2,Brown,,,2,1,1,1,2,1,0,Kuala Lumpur,27b6e5aca,4,4
Cat,Charlie Tux,4,Domestic Short Hair,Tuxedo,2,Black,White,,2,1,1,1,2,1,0,Kuala Lumpur,cdab8ba8e,5,2
Dog,,120,Mixed Breed,,1,Black,Brown,White,3,1,3,3,3,1,0,Kuala Lumpur,b84dad49f,3,4
Dog,Rocket,3,Mixed Breed,,2,Brown,,,2,1,2,2,2,1,0,Selangor,f0a2122d4,4,4
Dog,Jessy (Golden Retriever),36,Golden Retriever,,2,Brown,Golden,Yellow,3,2,1,1,2,1,0,Selangor,46d88ca3e,4,1
Cat,,3,Domestic Short Hair,,2,Black,Brown,White,1,1,2,1,2,1,0,Selangor,b99d5d532,3,4
Cat,DIDO,1,Domestic Short Hair,,2,Brown,Cream,White,2,1,2,1,3,1,0,Selangor,b9429dc85,4,1
Dog,Kaiser,36,Rottweiler,,1,Black,Cream,,3,1,1,1,1,1,0,Selangor,e464fcd4b,4,2
Dog,Oscar,12,Siberian Husky,,1,Black,Gray,White,2,2,1,2,2,1,400,Negeri Sembilan,86379f12f,1,2
Cat,Zoro,1,Domestic Medium Hair,,1,Black,White,,1,2,2,2,2,1,0,Selangor,33db028cb,1,2
Dog,WonderBoy,5,Collie,Basenji,1,Cream,White,,2,1,1,1,1,1,0,Kuala Lumpur,35c0c3aca,6,3
Dog,Ruby,24,German Shepherd Dog,Mixed Breed,2,Black,Brown,,2,2,3,3,3,1,0,Kuala Lumpur,d080818c3,3,3
Dog,Milo,3,Mixed Breed,,1,Brown,,,2,2,1,1,2,1,0,Selangor,6f0cb510a,3,1
Dog,Tiger Or Ti-girl,4,Mixed Breed,,2,Black,,,2,1,2,1,2,1,0,Pahang,368b2adc1,5,4
Cat,Mocha (Reserved - Rose),8,Siamese,Domestic Short Hair,1,Brown,Cream,,2,1,1,1,2,1,50,Selangor,25c7d6c3b,8,2
Cat,Baby Hak,12,Domestic Medium Hair,,1,Black,,,2,2,2,2,2,1,0,Selangor,1dfadc371,1,3
Dog,Polly,4,Mixed Breed,Bluetick Coonhound,2,Black,Brown,White,2,2,1,1,1,1,0,Selangor,6d9b202c9,10,3
Dog,Kaka,2,Mixed Breed,,1,Black,Brown,,2,1,2,3,2,1,0,Selangor,54791dc58,3,2
Cat,Manja,7,Calico,Tortoiseshell,2,Black,Yellow,White,2,1,1,1,2,1,0,Selangor,b36616178,7,2
Cat,Pillo,5,Domestic Long Hair,,1,Yellow,,,2,3,2,1,2,1,100,Kuala Lumpur,2ac4dd8c2,5,3
Dog,Sophieee,60,American Staffordshire Terrier,,2,Black,White,,2,1,1,1,1,1,0,Kuala Lumpur,48b418070,2,3
Dog,Latte,12,Mixed Breed,,2,Brown,,,2,1,1,1,1,1,0,Selangor,9a34ddc8b,2,2
Cat,Cat,17,Domestic Short Hair,,2,Black,Brown,White,1,1,3,3,1,1,0,Selangor,ff9f62e79,3,3
Dog,Roscoe,48,Mixed Breed,Mixed Breed,1,Black,Brown,,2,2,1,1,1,1,0,Selangor,474bccd75,2,2
Dog,Winnie,4,Mixed Breed,,2,Black,White,,2,1,1,2,2,1,0,Negeri Sembilan,e4abb93bf,2,3
Cat,Manis,12,Turkish Van,,2,Golden,Cream,,2,2,3,1,1,1,0,Selangor,120805f93,2,3
Cat,Tobby,12,Persian,Siamese,1,Black,White,,3,3,2,1,2,1,0,Selangor,2acf3fdce,2,1
Cat,Lily,3,Domestic Short Hair,,2,Gray,White,,2,1,1,1,2,1,0,Kuala Lumpur,e1ecc1b26,3,2
Dog,,36,Doberman Pinscher,,2,Black,Brown,,3,2,3,3,3,2,0,Kuala Lumpur,9bcd62ef1,4,3
Dog,No Name,12,Mixed Breed,,2,Cream,White,,2,1,3,3,3,1,0,Selangor,c3f2f166d,1,4
Dog,Ffiona,2,Mixed Breed,,2,Black,Brown,,2,2,1,1,2,1,80,Pulau Pinang,687e9c33c,1,4
Dog,Scooby,36,Doberman Pinscher,,1,Black,,,2,1,1,1,1,1,0,Perak,bb5f471dd,1,2
Cat,No Name,1,Oriental Short Hair,,2,Yellow,White,,1,1,2,2,2,1,0,Kuala Lumpur,45600eaab,3,1
Dog,Nutella,2,Mixed Breed,,2,Brown,,,2,1,1,1,2,1,0,Selangor,d7f938acd,4,1
Dog,BB,2,Mixed Breed,,2,Black,Brown,,2,2,1,1,2,1,0,Selangor,fbb112b7e,4,3
Dog,Cute Female Puppies Looking A Home~,1,Mixed Breed,,2,Brown,Cream,White,3,1,3,1,3,1,0,Kuala Lumpur,d14d62508,2,2
Cat,Aswad,2,Domestic Short Hair,,2,Black,Cream,,2,1,2,1,2,1,0,Selangor,5de61cf6b,3,2
Cat,Sunset,2,Siamese,Burmese,1,Brown,Cream,,1,1,2,2,2,1,0,Kuala Lumpur,b9590d4de,1,0
Dog,Lady,2,Mixed Breed,,2,Black,Brown,,2,1,1,1,2,1,80,Selangor,747c82f83,9,2
Cat,Little Yellow Cat,3,Domestic Short Hair,,1,Yellow,,,2,1,3,1,2,1,0,Kuala Lumpur,3004c3401,3,4
Dog,Harvey,17,Mixed Breed,,1,Black,,,2,2,1,1,1,1,150,Kuala Lumpur,c737c30d7,1,4
Cat,Tabby Male,48,Tabby,,1,Black,Brown,White,3,1,1,1,2,1,20,Selangor,987baa1c7,4,2
Cat,Abu Nawas,1,Domestic Short Hair,,1,Black,Brown,,2,1,2,2,2,1,0,Selangor,70b3d1f9c,1,2
Cat,Silvy,5,Domestic Short Hair,Domestic Long Hair,2,Black,White,,2,2,2,2,2,1,150,Selangor,27456ec0f,4,2
Dog,Java,8,Mixed Breed,Labrador Retriever,1,Black,Brown,,2,1,3,3,1,1,0,Selangor,5c28a8cec,3,2
Dog,CUTIE,4,Mixed Breed,Mixed Breed,2,White,,,1,1,1,1,1,1,0,Selangor,2c8ae4c7e,2,4
Dog,Money,3,Mixed Breed,,1,Black,White,,2,1,1,1,2,1,0,Selangor,cd7bea671,3,3
Cat,Ninja,72,Domestic Short Hair,,1,Black,White,,2,1,1,1,1,1,0,Selangor,7bda94ad0,10,4
Dog,,12,Mixed Breed,,2,Black,Brown,,2,2,2,1,2,1,0,Pulau Pinang,aa189a931,2,4
Dog,Oreo,36,Mixed Breed,,1,Golden,,,2,2,3,3,2,1,0,Selangor,3b4a987ba,3,4
Dog,Piston,2,Mixed Breed,,1,Cream,,,2,2,3,3,2,1,0,Selangor,1bbb46822,1,3
Dog,Momo,12,Mixed Breed,,2,White,,,2,2,1,1,2,1,0,Selangor,702bee848,5,2
Dog,Baobob,7,Mixed Breed,,1,Black,White,,1,1,2,2,2,1,50,Selangor,66757255c,1,4
Dog,,2,Mixed Breed,,1,Black,Brown,,2,1,2,2,2,1,0,Kuala Lumpur,0b0f596b5,4,1
Dog,Simone,24,Mixed Breed,,2,Brown,White,,2,1,1,1,1,1,0,Selangor,bea72e6c5,24,4
Dog,Goofy,1,Mixed Breed,,2,Brown,,,2,3,2,2,2,1,0,Selangor,52e555a3a,3,1
Dog,Coffee,1,Mixed Breed,,2,Brown,,,2,1,2,2,2,1,0,Negeri Sembilan,3998bcfec,1,2
Cat,"""Baraka"" The Black Cat",5,Domestic Short Hair,,1,Black,White,,1,1,1,2,3,1,0,Kuala Lumpur,933e0a3e8,4,4
Dog,Butter,16,Shih Tzu,Maltese,2,Cream,White,,1,1,1,1,3,1,0,Kuala Lumpur,1eb8a0278,3,1
Cat,Lucky Paws,2,Domestic Short Hair,,1,Golden,Cream,White,2,1,1,1,2,1,0,Selangor,d5df16a32,5,2
Cat,Baby,2,Domestic Medium Hair,,1,Cream,,,1,2,3,3,3,1,0,Pulau Pinang,06296e4e2,6,4
Dog,Rocky(pomeranian+ Shih Tze Mix),7,Shih Tzu,Pomeranian,1,Brown,,,2,1,1,1,3,1,0,Selangor,207d61997,8,1
Cat,PF 14928 -- Bobo,13,Domestic Short Hair,,2,Brown,Golden,,2,1,2,1,2,1,0,Selangor,38a81271c,5,4
Dog,Spongebob,3,Mixed Breed,,1,Black,White,,2,1,1,1,1,1,0,Selangor,65d10be4d,3,3
Dog,Blackie,12,Mixed Breed,,1,Black,Brown,,2,1,1,1,2,1,0,Selangor,c7b468b32,1,4
Cat,Galaxy,3,Domestic Short Hair,,1,Black,White,,1,1,1,1,2,1,0,Kuala Lumpur,6df350974,9,2
Dog,Pretty Baby Girl,2,Mixed Breed,Mixed Breed,2,Black,Brown,,2,2,2,2,2,1,0,Selangor,249112486,1,4
Cat,Oyen,10,Domestic Short Hair,,2,Yellow,,,2,1,1,1,1,1,0,Kuala Lumpur,8f85e69ee,8,3
Dog,Little Peanut,2,Mixed Breed,,2,Yellow,Cream,White,2,1,2,1,2,1,0,Selangor,b243b8e93,5,1
Dog,Scooby's Brother,2,Mixed Breed,,1,Black,Brown,Cream,2,1,2,2,2,1,0,Selangor,89523a695,2,3
Cat,Smallie,4,Domestic Short Hair,,2,Black,Brown,Gray,3,1,2,2,2,1,0,Kuala Lumpur,4f0eacbdd,8,1
Dog,The Bidi Budu Bubu Boy,60,Golden Retriever,Mixed Breed,1,Brown,Yellow,White,2,2,1,1,1,1,0,Selangor,b5fcc079e,5,3
Cat,Mocha,12,Domestic Short Hair,,2,Brown,Golden,Cream,2,1,1,1,1,1,0,Kuala Lumpur,f4ed1a08e,2,4
Cat,Jayden,2,Domestic Short Hair,Calico,2,Black,Yellow,White,1,1,2,2,2,1,0,Selangor,2f3227612,5,1
Cat,Meme,6,Domestic Short Hair,,2,Golden,White,,2,1,2,1,1,1,0,Selangor,00a1f270a,5,4
Dog,Zen Lee,3,Mixed Breed,,2,Black,Brown,,3,1,3,3,2,1,0,Selangor,74e316be1,2,2
Dog,Sweety,1,Mixed Breed,,2,Black,,,2,2,2,1,2,1,0,Selangor,039509c40,4,1
Cat,Bobo Chan,3,Domestic Medium Hair,,1,Yellow,White,,2,2,2,2,2,1,50,Selangor,c6cdbebfa,3,1
Dog,Female - Unique Eye Colour (D133-060516),19,Mixed Breed,,2,Black,,,2,1,1,1,1,1,80,Selangor,82137b39f,3,4
Cat,Cici,11,Domestic Short Hair,,2,Black,Yellow,White,2,1,1,1,1,1,50,Selangor,28b64c198,5,4
Dog,Bijou *Sponsored* D6-250915,37,Mixed Breed,,2,Brown,Golden,White,2,1,1,1,1,1,0,Selangor,f70251906,5,4
Cat,Ragdoll,4,Ragdoll,Persian,2,Black,White,,1,3,2,2,3,1,250,Selangor,9d76ed82f,3,2
Dog,Bongo,3,Mixed Breed,Labrador Retriever,1,Cream,,,2,1,2,1,1,1,0,Kuala Lumpur,e83f846eb,6,1
Dog,Milo,6,Mixed Breed,,1,Black,Brown,Cream,2,1,1,1,1,1,0,Selangor,60b9421cc,1,3
Cat,Ginger,1,Domestic Short Hair,,2,Golden,Cream,,2,1,2,2,2,1,0,Selangor,72a7cb335,7,2
Cat,Xiao Bao,7,Domestic Short Hair,,1,Black,White,,2,1,2,1,2,1,0,Kuala Lumpur,5a1010bca,2,2
Dog,Joey,4,Mixed Breed,,2,Black,Brown,,2,2,2,1,2,1,1,Kuala Lumpur,6a5c652b5,1,4
Dog,Jojo,48,Mixed Breed,,2,Brown,,,2,1,1,1,1,1,0,Selangor,706a9cd5c,1,3
Dog,Mini,3,Cocker Spaniel,Akbash,2,Brown,,,1,1,2,2,2,1,0,Perak,62550cf78,3,1
Dog,Jack,2,Mixed Breed,,1,Black,Brown,White,2,2,1,1,2,1,0,Selangor,701c5afba,1,1
Cat,Kacha,4,Domestic Short Hair,,1,Yellow,White,,1,1,1,1,3,1,0,Kuala Lumpur,d0fcfeb0f,5,1
Dog,QQ,22,Shih Tzu,,2,Cream,White,,2,1,1,1,2,1,0,Selangor,7bce76c66,3,1
Dog,Carly,60,Poodle,Poodle,2,Brown,,,1,3,1,1,1,1,0,Selangor,3b0b88ac2,3,1
Dog,Murphy,3,Black Labrador Retriever,Mixed Breed,1,Black,,,2,1,3,3,2,1,0,Selangor,061378b30,2,2
Cat,Pepper,4,Domestic Medium Hair,,2,Cream,,,2,2,3,3,3,1,0,Kuala Lumpur,a27f0cc49,4,2
Cat,Manja Bella,13,Persian,Domestic Medium Hair,2,Black,Gray,,2,2,1,1,2,1,0,Selangor,728c78b39,3,1
Cat,Kitten For Adoption,1,Domestic Short Hair,,1,Black,White,,1,1,3,3,3,1,0,Pulau Pinang,6c054c4ef,1,3
Dog,Labrador + Ridgeback Female,5,Labrador Retriever,,2,Black,,,2,2,1,1,2,1,0,Selangor,d5b9e0322,8,1
Dog,Lucky Angel,2,Mixed Breed,,2,Black,White,,2,2,2,1,2,1,0,Selangor,a2dc697f6,12,3
Dog,Bubbly Bundle Of Joy,2,Jack Russell Terrier,Mixed Breed,2,Brown,White,,2,1,1,1,2,1,0,Selangor,be7b65c23,9,2
Dog,Flora,36,Mixed Breed,,2,Brown,,,2,1,1,1,1,1,0,Selangor,e37f4aa07,1,3
Dog,Miss,2,Mixed Breed,,2,Black,Brown,,2,1,1,1,2,1,0,Selangor,7de2f688b,4,4
Dog,Y1,2,Mixed Breed,Mixed Breed,2,Black,Brown,,2,2,2,1,2,1,0,Selangor,e7020fa9a,4,2
Cat,Patches,2,Domestic Short Hair,,2,Black,White,,2,1,2,1,2,1,0,Selangor,752491221,3,1
Cat,Cham,8,Tabby,,1,Golden,,,2,1,1,1,1,1,0,Selangor,c2346525a,2,2
Cat,LAVENDER,2,Domestic Medium Hair,,2,Black,Gray,White,2,2,1,1,2,1,0,Selangor,bc7361016,4,3
Cat,Maddie,9,Tabby,,2,Brown,Cream,Gray,1,1,1,1,1,1,0,Kuala Lumpur,66201cf73,3,2
Cat,Grey,6,Domestic Short Hair,Tabby,2,Gray,,,2,1,3,3,3,1,0,Johor,b7359384d,4,2
Dog,Chanelle,18,Beagle,Mixed Breed,2,Brown,White,,2,1,1,1,1,1,0,Kuala Lumpur,1c59cecac,10,0
Dog,Wei Wei,14,Mixed Breed,,1,Brown,,,3,2,1,1,1,1,0,Johor,e7e1904f4,3,0
Cat,,2,Domestic Short Hair,,1,White,,,2,1,2,1,2,1,0,Kuala Lumpur,13f07ee9a,2,1
Cat,Noizy,12,Bengal,,1,Black,Gray,White,2,2,1,1,1,1,0,Selangor,821bd9373,1,4
Cat,Guo Guo,12,Domestic Short Hair,Tiger,2,Black,Brown,,2,1,2,3,1,1,0,Selangor,720db9cb3,1,4
Dog,Jill The Walnut,1,Collie,Mixed Breed,2,Black,Cream,,2,1,2,2,2,1,0,Selangor,0443d6f82,5,1
Dog,Bunny,2,Mixed Breed,,2,Black,Brown,White,2,2,1,1,2,1,0,Selangor,fa1a30192,2,3
Dog,Brownie,3,Mixed Breed,,2,Brown,,,2,1,3,3,3,1,0,Selangor,d4d6997e3,2,1
Dog,Mesky,3,Mixed Breed,Husky,1,Cream,White,,2,2,2,2,2,1,0,Pulau Pinang,d13d93f69,4,1
Cat,âª GERBERA âª,6,Domestic Short Hair,,2,Yellow,,,1,1,1,1,1,1,200,Johor,d8715d47e,6,4
Cat,Kitten S1,3,Siamese,,1,Black,White,,1,1,2,2,2,1,0,Kuala Lumpur,c15b3c9f1,1,2
Dog,Zizi,3,Mixed Breed,Mixed Breed,1,Brown,,,3,1,2,2,3,1,0,Kuala Lumpur,60bf93971,3,2
Dog,Flash,24,Mixed Breed,Mixed Breed,2,Brown,,,2,1,1,1,1,2,20,Selangor,e9eeadf82,2,4
Dog,Sam,1,Mixed Breed,,1,Brown,White,,2,2,2,2,2,1,0,Selangor,a4530b1d0,1,1
Dog,Big Big Girl,2,Mixed Breed,German Shepherd Dog,2,Black,Brown,,2,2,2,1,2,1,250,Kuala Lumpur,da6bb3100,13,3
Dog,Apollo,2,Mixed Breed,,1,Golden,,,2,2,1,1,2,1,0,Selangor,79669f807,1,2
Dog,LuiLui,7,Mixed Breed,,2,Brown,,,2,1,1,1,2,1,0,Kuala Lumpur,3af2b1473,1,3
Cat,Mok,3,Domestic Long Hair,,1,Black,Golden,,1,3,2,2,2,1,150,Selangor,0f0f81a37,3,1
Dog,Missy,1,Mixed Breed,,2,Brown,,,2,1,2,2,2,1,0,Perak,b8976d821,2,3
Dog,Clory,1,Mixed Breed,,2,Black,Brown,,2,1,1,1,2,1,0,Selangor,9eb98f34c,9,2
Dog,Rocco,55,Beagle,,1,Black,Yellow,White,2,1,1,1,1,1,0,Selangor,e317b2a73,5,2
Dog,Dango,2,Shar Pei,Mixed Breed,2,Black,Brown,,2,1,1,1,2,1,0,Selangor,ebd78e1d4,3,2
Dog,Mani,3,Mixed Breed,,2,Black,Brown,,2,2,1,1,1,1,0,Selangor,0822c54d5,3,3
Dog,Lily,36,Spitz,,2,Golden,Cream,,2,2,3,3,1,1,0,Selangor,4036e0e12,9,3
Cat,Kairi ã«ã¤ Neko,1,Domestic Medium Hair,,2,Black,Yellow,White,2,3,2,1,2,1,0,Selangor,f34d62be0,10,2
Cat,Kasih Dan Oreo,6,Siamese,,2,Brown,Cream,,2,2,2,2,2,1,0,Selangor,2a7b5edbf,3,4
Cat,Polo And Vincci,6,Domestic Medium Hair,Domestic Short Hair,2,Brown,Cream,,2,2,2,2,2,1,0,Kuala Lumpur,18042e473,3,1
Cat,Sang Abong,4,Bengal,Domestic Short Hair,1,Brown,,,2,2,2,2,2,2,0,Selangor,dc99804de,4,1
Dog,Carmen,2,Mixed Breed,Terrier,2,Brown,White,,2,2,1,1,2,1,0,Selangor,0fb490c9b,3,1
