programa,orden_preferencia,jornada,nota_formacion_previa,nota_admision,moroso,arancel_al_dia,beca,edad_ingreso,desempleo,inflacion,crecimiento_pib,asignaturas_convalidadas,asignaturas_inscritas,evaluaciones_realizadas,asignaturas_aprobadas,promedio_notas,asignaturas_sin_evaluacion,resultado
Gestión de publicidad y marketing,2,diurna,124.0,124.4,0,1,0,19,7.6,2.6,0.32,0,5,5,5,14.2,0,graduado
Periodismo y comunicación,1,diurna,133.1,126.0,0,1,1,19,15.5,2.8,-4.06,0,6,6,6,12.5,0,graduado
Agronomía,1,diurna,170.0,170.0,1,1,0,47,8.9,1.4,3.51,0,1,1,0,0.0,0,continua_matriculado
Servicio social,3,diurna,125.0,121.5,0,1,0,19,13.9,-0.3,0.79,0,6,10,5,11.666666666666666,0,graduado
Enfermería,1,diurna,130.0,130.0,0,1,0,29,12.7,3.7,-1.7,1,8,8,7,14.257142857142856,0,graduado
Servicio social,1,diurna,125.0,117.0,0,1,0,21,16.2,0.3,-0.92,0,6,13,3,12.0,0,abandono
Enfermería veterinaria,1,diurna,130.0,130.0,0,1,0,28,12.7,3.7,-1.7,0,5,13,4,11.25,1,continua_matriculado
Higiene oral,2,diurna,133.1,108.0,0,1,0,20,15.5,2.8,-4.06,0,7,8,7,12.457142857142856,0,graduado
Enfermería,1,diurna,131.0,132.3,0,1,0,19,7.6,2.6,0.32,0,7,7,6,11.683333333333332,0,graduado
Servicio social,1,vespertina,150.0,148.0,0,1,0,26,9.4,-0.8,-3.12,0,6,10,3,11.666666666666666,0,graduado
Turismo,2,diurna,125.0,122.6,1,0,0,20,11.1,0.6,2.02,0,6,8,4,11.75,0,abandono
Gestión de publicidad y marketing,1,diurna,131.0,123.0,0,1,1,18,7.6,2.6,0.32,0,5,6,3,11.666666666666666,0,continua_matriculado
Educación básica,1,diurna,130.0,102.5,0,1,0,27,7.6,2.6,0.32,0,6,9,5,13.2,0,graduado
Enfermería,2,diurna,123.0,113.3,0,1,0,20,7.6,2.6,0.32,0,7,8,4,11.95,0,abandono
Educación básica,5,diurna,141.0,133.0,0,1,0,18,9.4,-0.8,-3.12,0,6,8,5,12.4,0,abandono
Enfermería,1,diurna,140.0,140.0,0,1,0,33,16.2,0.3,-0.92,2,7,8,6,14.35,0,abandono
Educación básica,1,diurna,140.0,128.3,0,1,0,35,12.4,0.5,1.79,19,21,21,21,12.61904761904762,0,graduado
Administración,1,vespertina,140.0,140.0,0,1,1,26,9.4,-0.8,-3.12,2,6,7,6,12.666666666666666,0,continua_matriculado
Periodismo y comunicación,1,diurna,133.1,104.0,1,0,0,27,11.1,0.6,2.02,0,6,6,5,12.0,0,abandono
Diseño de comunicación,3,diurna,131.0,122.3,0,0,0,19,15.5,2.8,-4.06,0,6,6,6,12.166666666666666,0,abandono
Turismo,2,diurna,143.0,135.0,0,1,0,20,11.1,0.6,2.02,0,6,0,0,0.0,0,abandono
Administración,2,diurna,132.0,119.1,1,0,0,20,10.8,1.4,1.74,0,5,9,3,10.0,0,abandono
Servicio social,1,diurna,143.0,126.6,1,0,0,21,9.4,-0.8,-3.12,5,10,18,8,11.5,0,continua_matriculado
Enfermería,3,diurna,141.0,129.0,0,1,1,18,7.6,2.6,0.32,0,7,7,6,13.05,0,graduado
Enfermería veterinaria,1,diurna,133.1,162.3,0,1,0,24,8.9,1.4,3.51,0,6,10,2,11.0,0,abandono
Diseño de comunicación,4,diurna,148.0,163.4,0,1,0,20,16.2,0.3,-0.92,0,6,7,6,11.5,0,graduado
Turismo,1,diurna,125.0,121.5,0,1,1,21,13.9,-0.3,0.79,0,6,7,6,12.0,0,graduado
Servicio social,1,vespertina,120.0,122.8,0,1,0,23,9.4,-0.8,-3.12,0,6,13,2,10.0,0,continua_matriculado
Administración,1,diurna,140.0,118.0,0,1,0,24,7.6,2.6,0.32,0,5,5,0,0.0,0,abandono
Educación básica,1,diurna,139.0,134.0,0,1,0,21,12.4,0.5,1.79,0,6,0,0,0.0,0,abandono
Enfermería,4,diurna,142.0,129.8,0,1,0,18,12.7,3.7,-1.7,0,8,8,7,12.242857142857144,0,graduado
Administración,1,vespertina,130.0,152.0,0,1,0,27,8.9,1.4,3.51,0,5,0,0,0.0,0,abandono
Enfermería,6,diurna,126.0,122.8,0,1,0,18,9.4,-0.8,-3.12,0,8,8,8,12.93375,0,graduado
Ingeniería informática,1,diurna,150.0,150.0,0,1,0,35,13.9,-0.3,0.79,0,5,0,0,0.0,0,abandono
Educación básica,1,diurna,130.0,131.8,0,1,0,18,11.1,0.6,2.02,0,7,9,7,12.571428571428571,0,graduado
Enfermería,1,diurna,120.0,105.9,0,1,0,35,11.1,0.6,2.02,0,3,4,3,11.816666666666668,0,continua_matriculado
Enfermería veterinaria,1,diurna,138.0,132.1,0,1,0,19,10.8,1.4,1.74,0,5,9,4,13.75,0,graduado
Servicio social,4,diurna,127.0,127.4,0,1,0,20,7.6,2.6,0.32,0,6,8,6,11.166666666666666,0,graduado
Enfermería,4,diurna,140.0,129.5,0,1,0,18,10.8,1.4,1.74,0,8,8,7,12.324285714285711,0,graduado
Servicio social,1,diurna,130.0,126.7,1,1,0,21,13.9,-0.3,0.79,3,6,6,6,12.166666666666666,0,graduado
Servicio social,2,diurna,128.0,116.5,0,1,1,18,16.2,0.3,-0.92,0,6,11,5,11.142857142857142,0,graduado
Servicio social,1,diurna,132.0,119.1,0,1,0,18,7.6,2.6,0.32,0,6,9,4,11.0,0,graduado
Enfermería,2,diurna,149.0,126.5,0,1,0,18,12.7,3.7,-1.7,0,8,8,7,12.914285714285713,0,graduado
Periodismo y comunicación,4,diurna,155.0,149.8,0,1,1,18,16.2,0.3,-0.92,0,6,6,6,13.833333333333334,0,graduado
Enfermería veterinaria,1,diurna,120.0,115.1,0,1,0,19,13.9,-0.3,0.79,0,6,8,6,13.857142857142858,0,graduado
Turismo,1,diurna,133.1,124.5,0,1,1,36,16.2,0.3,-0.92,0,6,7,6,13.714285714285714,0,abandono
Enfermería,2,diurna,131.0,128.3,0,1,1,18,12.7,3.7,-1.7,0,8,8,7,12.642857142857142,0,graduado
Enfermería,1,diurna,149.0,136.0,0,1,1,18,7.6,2.6,0.32,0,7,7,6,12.916666666666666,0,graduado
Equinocultura,1,diurna,140.0,140.0,0,1,1,20,13.9,-0.3,0.79,0,6,8,6,15.625,0,graduado
Administración,1,vespertina,133.1,126.3,0,1,1,26,16.2,0.3,-0.92,0,5,7,0,0.0,0,abandono
Periodismo y comunicación,1,diurna,122.0,126.9,0,1,0,21,7.6,2.6,0.32,0,6,8,6,11.714285714285714,0,graduado
Higiene oral,1,diurna,130.0,145.0,0,1,0,25,15.5,2.8,-4.06,0,7,10,6,12.125,0,continua_matriculado
Administración,1,diurna,121.0,115.8,0,1,1,19,12.4,0.5,1.79,0,5,7,5,11.6,0,graduado
Servicio social,1,vespertina,120.0,100.0,0,1,0,24,9.4,-0.8,-3.12,0,6,11,1,10.0,0,abandono
Servicio social,1,vespertina,133.1,102.5,0,1,1,27,8.9,1.4,3.51,0,6,16,1,10.0,0,abandono
Enfermería veterinaria,1,diurna,121.0,131.5,0,1,0,21,7.6,2.6,0.32,0,5,10,0,0.0,1,abandono
